gene_id	gene_name	g4e	p_unified	epi25_min_p	meta_sig
ENSG00000005436	GCFC2	False	0.4249767325948568	0.035671	False
ENSG00000005448	WDR54	False	0.09207514403223217	0.15148	False
ENSG00000005469	CROT	False	0.046464606232388024	0.012017	False
ENSG00000005471	ABCB4	False	0.10004394317780974	0.0077031	False
ENSG00000005483	KMT2E	True	0.002343367673758737	8.8556e-05	False
ENSG00000005486	RHBDD2	False	0.08831186720661635	0.17693	False
ENSG00000005513	SOX8	False	0.7736435721380651		False
ENSG00000005700	IBTK	False	0.3648360008836485	0.06691	False
ENSG00000005801	ZNF195	False	0.40437226713482827	0.52706	False
ENSG00000005812	FBXL3	False	0.3057753620270011	0.049962	False
ENSG00000005844	ITGAL	False	0.1758177716214023	0.07809	False
ENSG00000005882	PDK2	False	0.11275494845390002	0.37082	False
ENSG00000005884	ITGA3	False	0.15659710769800295	0.22451	False
ENSG00000005961	ITGA2B	False	0.6272083661443515	0.32018	False
ENSG00000005981	ASB4	False	0.05762686811500625	0.099786	False
ENSG00000006007	GDE1	False	0.09463867202637459	0.186	False
ENSG00000006015	REX1BD	False	0.012115832366016054	0.044488	False
ENSG00000006016	CRLF1	False	0.029849321639450508	0.70937	False
ENSG00000006025	OSBPL7	False	0.14863787080544125	0.03805	False
ENSG00000006042	TMEM98	False	0.1662903034526507	0.25102	False
ENSG00000006047	YBX2	False	0.6936585917146421	0.09325	False
ENSG00000006059	KRT33A	False	0.7737294194533452	0.4088	False
ENSG00000006062	MAP3K14	False	0.058685265553655275	0.44088	False
ENSG00000006071	ABCC8	False	0.5089303304200861	0.1333	False
ENSG00000006116	CACNG3	False	0.4065953482463275	0.30633	False
ENSG00000006118	TMEM132A	False	0.1618593558918766	0.30708	False
ENSG00000006125	AP2B1	False	0.046285436492591626	0.39234	False
ENSG00000006128	TAC1	False	0.20988538005253174	0.11179	False
ENSG00000006194	ZNF263	False	0.5656675366121491	0.26915	False
ENSG00000006210	CX3CL1	False	0.03394039154368034	0.26659	False
ENSG00000006282	SPATA20	False	0.16223278698126434	0.0027097	False
ENSG00000006283	CACNA1G	True	0.1749507075620027	0.17693	False
ENSG00000006377	DLX6	False	0.15186918757893178	0.51583	False
ENSG00000006432	MAP3K9	False	0.03067205837443387	0.010134	False
ENSG00000006453	BAIAP2L1	False	0.05586554806419806	0.10085	False
ENSG00000006459	KDM7A	False	0.34798683846258943	0.075814	False
ENSG00000006468	ETV1	False	0.00688725530727777	0.49242	False
ENSG00000006530	AGK	False	0.014820551437221639	0.093828	False
ENSG00000006534	ALDH3B1	False	0.5501884339232056	0.38064	False
ENSG00000006555	TTC22	False	0.1603831642767411	0.49976	False
ENSG00000006576	PHTF2	False	0.001179707893798954	0.021983	False
ENSG00000006607	FARP2	False	0.15315571948150009	0.011972	False
ENSG00000006611	USH1C	False	0.026507965022845623	0.1318	False
ENSG00000006625	GGCT	False	0.5889488090244342		False
ENSG00000006634	DBF4	False	0.33448044133892724	0.14995	False
ENSG00000006638	TBXA2R	False	0.08123902205409064	0.44227	False
ENSG00000006652	IFRD1	False	0.25722190871607997	0.088731	False
ENSG00000006659	LGALS14	False	0.23721154206295486	0.008058	False
ENSG00000006695	COX10	True	0.31647754041687	0.35668	False
ENSG00000006704	GTF2IRD1	False	0.2464714796681955	0.2314	False
ENSG00000006712	PAF1	False	0.5102138992626295	0.28174	False
ENSG00000006715	VPS41	False	0.01192215970391026	0.60543	False
ENSG00000006740	ARHGAP44	False	0.5903294034184319	0.071938	False
ENSG00000006744	ELAC2	False	0.0008165370511646849	0.17532	False
ENSG00000006747	SCIN	False	0.4356271873627847	0.081492	False
ENSG00000006788	MYH13	False	0.006028981476387365	0.13364	False
ENSG00000006831	ADIPOR2	False	0.06878257470527814	0.54263	False
ENSG00000006837	CDKL3	False	0.1960012332608483	0.39331	False
ENSG00000007001	UPP2	False	0.3509985333497111	0.21386	False
ENSG00000007038	PRSS21	False	0.7632282415215245	0.36172	False
ENSG00000007047	MARK4	False	0.7084642767376793	0.136	False
ENSG00000007062	PROM1	False	0.11986240583381765	0.15768	False
ENSG00000007080	CCDC124	False	0.5076942567672675	0.1396	False
ENSG00000007129	CEACAM21	False	0.12264676248196965	0.40764	False
ENSG00000007168	PAFAH1B1	True	0.44480441403412596	0.015305	False
ENSG00000007171	NOS2	False	0.019695224914386692	0.092354	False
ENSG00000007174	DNAH9	False	0.009734900882313376	0.062749	False
ENSG00000007216	SLC13A2	False	0.025995527191951057	0.1981	False
ENSG00000007237	GAS7	False	0.1517350781364626	0.077674	False
ENSG00000007255	TRAPPC6A	False	0.14086715788954896	0.46157	False
ENSG00000007264	MATK	False	0.2213257328493699	0.32284	False
ENSG00000007306	CEACAM7	False	0.102629793676744	0.074742	False
ENSG00000007312	CD79B	False	0.42226601918327733		False
ENSG00000007314	SCN4A	False	0.37191692146756455	0.24091	False
ENSG00000007341	ST7L	False	0.08646075493405164	0.096692	False
ENSG00000007372	PAX6	True	0.078724683472165	0.20804	False
ENSG00000007376	RPUSD1	False	0.27902576886280755	0.14207	False
ENSG00000007384	RHBDF1	False	0.2735906290679761	0.090036	False
ENSG00000007392	LUC7L	False	0.0013220331456544271	0.18864	False
ENSG00000007402	CACNA2D2	True	0.02871051809726623	0.04814	False
ENSG00000007516	BAIAP3	False	0.053278558492560135	0.49779	False
ENSG00000007520	TSR3	False	0.006485109272400503	0.1317	False
ENSG00000007541	PIGQ	True	0.05834445050748027	0.30556	False
ENSG00000007545	CRAMP1	False	0.1804232690617028	0.36176	False
ENSG00000007866	TEAD3	False	0.09273130817677161	0.19665	False
ENSG00000007908	SELE	False	0.3577877369693927	0.25272	False
ENSG00000007923	DNAJC11	False	0.680448280548523	0.42831	False
ENSG00000007933	FMO3	False	0.06352776619231978	0.089433	False
ENSG00000007944	MYLIP	False	0.07399730768364028	0.21982	False
ENSG00000007968	E2F2	False	0.36214957688307337	0.060424	False
ENSG00000008018	PSMB1	False	0.06778984305253699	0.11854	False
ENSG00000008083	JARID2	True	0.0330539756288962	0.10763	False
ENSG00000008118	CAMK1G	False	0.592989282235007	0.11963	False
ENSG00000008128	CDK11A	False	0.7336510450371845	0.49055	False
ENSG00000008130	NADK	False	0.01371176309449092	0.0066755	False
ENSG00000008196	TFAP2B	False	0.03475588662690555	0.10592	False
ENSG00000008197	TFAP2D	False	0.08291391118398643	0.24873	False
ENSG00000008226	DLEC1	False	0.38768180466911994	0.82084	False
ENSG00000008256	CYTH3	False	2.8062356677628343e-06	0.022569	False
ENSG00000008277	ADAM22	True	0.44004016647099864	0.27839	False
ENSG00000008282	SYPL1	False	0.12843338220939604	0.0689	False
ENSG00000008283	CYB561	False	0.03955875155957138	0.1656	False
ENSG00000008294	SPAG9	False	0.10122441911163226	0.031196	False
ENSG00000008300	CELSR3	False	0.011681453334438383	0.044871	False
ENSG00000008311	AASS	False	0.2628216399793715	0.41028	False
ENSG00000008323	PLEKHG6	False	0.24603520622167088	0.081128	False
ENSG00000008382	MPND	False	0.008260595534880191	0.76285	False
ENSG00000008394	MGST1	False	0.11394607426930166	0.5477	False
ENSG00000008405	CRY1	False	0.011313072109265219	0.050343	False
ENSG00000008438	PGLYRP1	False	0.6479324350181601	0.097369	False
ENSG00000008441	NFIX	False	0.3904361785967933	0.17184	False
ENSG00000008513	ST3GAL1	False	0.05989233451651465	0.33731	False
ENSG00000008516	MMP25	False	0.7315361922439853	0.18827	False
ENSG00000008517	IL32	False	0.17125087285197563	0.50588	False
ENSG00000008710	PKD1	False	0.49962819738086506	0.31208	False
ENSG00000008735	MAPK8IP2	False	0.35802454504699305	0.18515	False
