Gene Name,Group,G4E,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Epi25 DM p-value,Epi25 PTV p-value,Unified Model p-value
LMO7,DEE,False,358,4.116198130605817e-07,0.24114202133806206,1.999338185854242e-66,1.9632410027091508e-22,2.177896166344442e-100,,0.72247,5.607879448633887e-06
GNA12,DEE,False,57,2.953941851442109e-07,0.035302211655222675,0.37417215531594616,0.010066884973241692,0.00017992923601168017,,0.28939,5.7133936968660965e-06
RRAGA,DEE,False,25,4.1005447474413986e-07,0.5586830119080533,0.40258336094777436,0.05512507720744886,8.123726868475854e-08,0.60221,0.42254,6.523763296172517e-06
NPSR1,DEE,False,77,0.8245285500931956,0.16905103962042617,0.5939842064066168,1.944071931028154e-12,0.5963606229337929,,0.048701,6.878099156584866e-06
PCDHGA8,DEE,False,236,1.801254996982643e-07,0.13973268973062392,0.09288951019959565,3.2188600131923895e-08,9.964277355597596e-20,,0.30471,7.049383848064333e-06
KDELR2,DEE,False,45,0.0008067776813716074,0.3509686276281915,0.0010946472754318622,0.08135232265547493,9.88905416005447e-05,,0.602,7.139714162622826e-06
CACNA1A,EPI,True,384,0.09571475408682353,0.8542767818160852,0.0005692182712708068,0.0037478906519430697,0.021865725262662734,0.2174,0.013972,7.479376633163203e-06
PRND,DEE,False,44,0.24431207238731148,0.13566090364507233,0.3998230525943922,1.0497568331119766e-09,0.44714423410210724,,0.20688,7.5047000782111644e-06
SCN1A,GGE,True,274,0.021145172345462326,0.29436616550699,0.0039692108152493705,4.489733155491615e-05,0.21279728537419945,0.099042,0.0024069,7.657852168848373e-06
MRPS22,DEE,False,93,1.6512249264963528e-06,0.9994368999243836,0.7872103240817637,4.092186718614359e-10,4.860831342704263e-09,,0.051776,7.691864885141739e-06
TANC2,DEE,True,359,1.0620433895649973e-05,0.6889772541730623,0.5519590607970194,3.606861369257634e-05,0.062375985569931666,,0.069013,8.230255330301502e-06
IST1,DEE,False,98,0.7979511413706748,0.08023313218855917,4.93662309826736e-21,1.4978693993113397e-14,2.7284929935454553e-14,,0.1742,8.501767663907784e-06
