gene_id	gene_name	group	n_variants	p_constraint	p_gerp	p_pathogenicity	p_pLoF	p_missense	p_unified
ENSG00000000419	DPM1	DEE	58	0.9697469444594808	0.19189052265183762	0.07576285058452027	0.00011017549955832467	0.20076281355534592	0.13771325059611236
ENSG00000000419	DPM1	EPI	77	0.4600147351208732	0.2777768453604332	0.6242907914087974	0.00026585432684955024	0.020259983102945092	0.0164239793783691
ENSG00000000419	DPM1	GGE	66	0.887188089218391	0.3735596487624373	0.8339602898093861	2.2994834537678194e-05	0.4605891872359552	0.03769985552813011
ENSG00000000419	DPM1	NAFE	62	0.5430526949847215	0.0881674563195108	0.09859323143834274	0.0012167134297253032	0.10978039928268608	0.038960751718262174
ENSG00000000457	SCYL3	DEE	138	0.7761409671480374	0.4893272430449457	0.12431097303264214	3.3640130654593095e-10	5.3365329484173804e-08	0.09705411463533035
ENSG00000000457	SCYL3	EPI	181	0.43220634612427045	0.796943443234147	0.902079136964778	0.30598613138687436	0.864449802193079	0.8979195168470391
ENSG00000000457	SCYL3	GGE	145	0.32987565514364436	0.09891870436903911	0.8224126607350541	0.0010872628085091037	0.06110928056393702	0.18617631920713912
ENSG00000000457	SCYL3	NAFE	152	0.26817203771488857	0.9787488081861454	0.21908187368627682	0.2828499749484242	0.008954310343590661	0.6271394276505402
ENSG00000000460	C1orf112	DEE	139	0.7735998074033889	0.8227232253264465	0.3882644567406285	0.0015972858203491612	1.6050899495109732e-11	0.8485731618099402
ENSG00000000460	C1orf112	EPI	183	0.19166930022229334	0.7686274693515796	0.0038019239605200875	0.4861257258318613	0.5146612121687462	0.02540978873306925
ENSG00000000460	C1orf112	GGE	150	0.8731898963350319	0.2808857186911006	0.23169840518365806	0.03426958175955707	0.009150189249955518	0.6534644346680294
ENSG00000000460	C1orf112	NAFE	154	0.5353617204657892	0.9428105502337605	0.0008286363472436255	0.1487641180004579	0.40022699340146506	0.014665513660370798
ENSG00000000938	FGR	DEE	76	0.5174012524477172	0.04497066357685483	0.2073313830111145	0.0031116315170080415	0.0004235270689886872	0.11050495529149806
ENSG00000000938	FGR	EPI	109	0.7198940595668184	0.20971393236260827	0.7944067320198918	0.9000793015612208	0.5052851642403523	0.7256093032566711
ENSG00000000938	FGR	GGE	82	0.24379898458346047	0.27683499807037515	0.4009568644853657	0.5253335277535938	0.09562287928412189	0.4980994873005191
ENSG00000000938	FGR	NAFE	95	0.8385845214629126	0.3303144347264736	0.24129331589023842	0.35781449876753957	0.3279923282336691	0.6829373900628841
ENSG00000000971	CFH	DEE	254	0.5585969444351536	0.993784486493281	0.022681937783544437	5.4881824283020466e-05	0.04455231896117057	0.04091414010594073
ENSG00000000971	CFH	EPI	332	0.7134268609051162	0.22829713502277685	0.5595854898688739	0.5043629010959673	0.7974145255640178	0.7417866516562506
ENSG00000000971	CFH	GGE	256	0.4333982019420596	0.5799635441930244	0.4346738721410296	0.6238923783348225	0.07610627350424194	0.7760980658829961
ENSG00000000971	CFH	NAFE	285	0.6321817739538859	0.04430921503529974	0.8258145142227084	0.9053045220849779	0.18514542479531607	0.32871500851792235
ENSG00000001036	FUCA2	DEE	102	0.4450963652058	0.45090308237694243	0.014788135781896675	5.029819190659607e-08	1.0693873372321927e-11	0.13564189011704406
ENSG00000001036	FUCA2	EPI	136	0.8515530986294059	0.18519920909170345	0.7571735642348765	0.5124193098290715	0.6334491338813024	0.7422863751632318
ENSG00000001036	FUCA2	GGE	107	0.5472744585004367	0.44912315804464986	0.7029023465819295	0.00015073668701031122	0.10820473127388387	0.3773561293583587
ENSG00000001036	FUCA2	NAFE	125	0.26295576295436557	0.4951471912073018	0.8392277920039295	0.10589176507749973	0.1882029825046205	0.7187024043865491
ENSG00000001084	GCLC	DEE	56	0.7001213956118255	0.16715370944026986	0.34048983265347066	0.04830338895597232	0.00027876276531795874	0.577997706701558
ENSG00000001084	GCLC	EPI	75	0.749030690196803	0.11948356308720191	0.30607866414501195	0.054596423758285335	0.4227118454100981	0.31299703340865065
ENSG00000001084	GCLC	GGE	53	0.013971923324405604	0.597466753529508	0.8892856838281662	9.86171072227894e-05	0.8667657655592602	0.006612127366137265
ENSG00000001084	GCLC	NAFE	61	0.4934000233683634	0.11991703674956386	0.3264634784231878	0.05710839506248368	0.9542199177214719	0.35374730304071017
ENSG00000001167	NFYA	DEE	27	0.9031857996997494	0.4597392883770064	0.5327427641495817	0.37645758914262784	0.024896555126003573	0.8860117196488633
ENSG00000001167	NFYA	EPI	37	0.6064536900610341	0.442339260615613	0.4575223171449667	0.7442948560098388	0.8331723046942618	0.6944163807931569
ENSG00000001167	NFYA	GGE	25	0.962642430229787	0.9325575356241529	0.9672045594071076	0.3683692366668182	0.09253673522226899	0.9999227265064226
ENSG00000001167	NFYA	NAFE	33	0.7027655469810719	0.7481941025892559	0.3317366359190751	0.659629653717433	0.25298560081782956	0.8432503341279789
ENSG00000001460	STPG1	DEE	84	0.5028272410757317	0.5356998242485629	0.7076984920539252	8.248656012417006e-06	6.639152941613039e-10	0.9151061370880886
ENSG00000001460	STPG1	EPI	108	0.5037830741690241	0.6556210342597946	0.43553766652729053	0.3999189403502056	0.3008266237881364	0.7194062721013543
ENSG00000001460	STPG1	GGE	88	0.7384615860262859	0.6141762394446193	0.9572745402323792	0.20181915023840483	0.005605590508914143	0.9738692737618713
ENSG00000001460	STPG1	NAFE	99	0.8128239898222394	0.871277948887045	0.42121182261676904	0.7521435378466967	0.10832675238729661	0.9189658736734609
ENSG00000001461	NIPAL3	DEE	92	0.9262455198184356	0.7106607604777524	0.8786006767675315	0.20240307723850878	0.00015145752001595496	0.974673200233787
ENSG00000001461	NIPAL3	EPI	113	0.13581231384489356	0.39349512676019616	0.380406765413714	0.5226319967716335	0.5936589087357527	0.3507573843873075
ENSG00000001461	NIPAL3	GGE	94	0.8622285510603309	0.3818633401057261	0.18803288585869019	0.9155814748388659	0.039041211002661905	0.6398382600524066
ENSG00000001461	NIPAL3	NAFE	104	0.44104394625476584	0.9681713485606693	0.5027567462752273	0.1294341820829484	0.8279711298469593	0.7026932112341142
ENSG00000001561	ENPP4	DEE	92	0.9851643098142484	0.9323052858637819	0.3922231652463337	0.0811385933479595	2.354408556089068e-10	0.5912409751185501
ENSG00000001561	ENPP4	EPI	128	0.39728016845283964	0.8603261185355835	0.12159630744451506	0.1724712287720025	0.7147888452854547	0.4158930637842826
