gene_id	gene_name	group	n_variants	p_gerp	p_pathogenicity	p_pLoF	p_missense	p_unified	p_constraint
ENSG00000003056	M6PR	NAFE	62	0.1503545099292726	0.029739939964091636	0.4978281402122393	0.022335728978787776	0.05625421817840274	0.40219332061192203
ENSG00000003137	CYP26B1	DEE	120	0.3593708842230684	0.2808803060814274	0.9955872618283257	0.9199157111547325	0.8147488852446731	0.7182364958909379
ENSG00000003137	CYP26B1	EPI	143	0.3397704366885199	0.8509582915844449	0.6061663890585749	0.4657891912838098	0.8456712900006884	0.5017309441696971
ENSG00000003137	CYP26B1	GGE	123	0.19018878786841434	0.5679559987118394	0.714912523340144	0.8477372661568584	0.48795161307555845	0.1310443644332953
ENSG00000003137	CYP26B1	NAFE	131	0.3811396469922578	0.5504029723890476	0.7455110999438757	0.6862783452869476	0.9051838277534587	0.566426303006446
ENSG00000003147	ICA1	DEE	80	0.062321725352099004	0.21040449523209453	0.24567503897801785	0.03850478342598218	0.07205540783980191	0.03305067337808483
ENSG00000003147	ICA1	EPI	104	0.7169375972110036	0.8676202644001418	0.5638492044580952	0.41763204532567966	0.8787031374044166	0.4509192085054664
ENSG00000003147	ICA1	GGE	88	0.7594108452664935	0.6893145021303988	0.8280347147171672	0.2479663650595843	0.6733138189361482	0.15195111152094093
ENSG00000003147	ICA1	NAFE	92	0.9468040226338708	0.341055628736185	0.8958696384705658	0.2956785085810988	0.8667737693746723	0.6352610795229336
ENSG00000003249	DBNDD1	DEE	46	0.7180406258428388	0.7362930263203924	0.0042290759189733285	0.00010971656162843589	0.9908210175956773	0.7998987613460837
ENSG00000003249	DBNDD1	EPI	58	0.5927213208703757	0.51112054331293	0.8375974694711643	0.491433670493555	0.7317899943362749	0.32729469332408534
ENSG00000003249	DBNDD1	GGE	46	0.4073322271732793	0.2255088027125778	0.21199074458623227	0.03709520354644411	0.756594558800574	0.9310599182853547
ENSG00000003249	DBNDD1	NAFE	56	0.7134734579632227	0.2595107897359551	0.6492599565080432	0.17972851290944805	0.44279773352397733	0.16957549367018626
ENSG00000003393	ALS2	DEE	335	0.8452781625559572	0.9994849457450308	1.2558193511021637e-06	3.987738180413847e-20	0.09490846172817874	0.005341164833726377
ENSG00000003393	ALS2	EPI	432	0.9011163958441908	0.9756015627159603	0.818366957804896	0.3444956344861462	0.8719593264887042	0.2822189998671138
ENSG00000003393	ALS2	GGE	349	0.4223229229648393	0.6881151922200062	0.017664658090432838	3.9949789928386584e-05	0.9193236680070254	0.972459546729421
ENSG00000003393	ALS2	NAFE	363	0.54446006655632	0.39309866155991136	0.040460125415809296	0.10945857142975747	0.7781727958104048	0.570692863704296
ENSG00000003400	CASP10	DEE	128	0.6321527518606747	0.08148393061213166	1.7377832885141752e-07	3.6215995519605555e-14	0.025552548747611877	0.010804894786724141
ENSG00000003400	CASP10	EPI	161	0.9866202179084296	0.7221873095083511	0.16344201604597236	0.022056642852503774	0.263269492658141	0.11277792549349534
ENSG00000003400	CASP10	GGE	133	0.2961200981278698	0.43136485887265474	0.2310641633281737	1.1886472221064624e-05	0.5889809063246625	0.9643638595689128
ENSG00000003400	CASP10	NAFE	141	0.8656167564572345	0.8785469829789707	0.9487951658348264	0.0013468174929784516	0.7808676309558221	0.7005112883505844
ENSG00000003402	CFLAR	DEE	52	0.2939929762847899	0.2664071564323131	0.12774988457348188	0.03616020682681633	0.1278868999759013	0.026335920083616404
ENSG00000003402	CFLAR	EPI	74	0.7171116782094817	0.8528423509152703	0.37889430926985845	0.7255330101511596	0.9436463266025327	0.818118846810316
ENSG00000003402	CFLAR	GGE	57	0.5176267947047162	0.5846455737725298	0.792689250131558	0.21744141382165827	0.9350399644769265	0.768620667601922
ENSG00000003402	CFLAR	NAFE	64	0.9861218067442752	0.2259265565733505	0.09717281224219788	0.6153532167187871	0.4025210762477799	0.34809510550434175
ENSG00000003436	TFPI	DEE	30	0.09709046493074493	0.010290328781358058	0.037056393535916624	0.018442976395009875	0.07058327954865408	0.02856871861436017
ENSG00000003436	TFPI	EPI	39	0.4175900667341427	0.557684359630118	0.7679727214031344	0.6080127939935698	0.6587211468153744	0.4086705918058515
ENSG00000003436	TFPI	GGE	31	0.7853025475533499	0.05866534127577036	0.009109259407334638	0.8126405343115991	0.04959023550597389	0.007100982294240163
ENSG00000003436	TFPI	NAFE	32	0.08712758170485722	0.19303860140698537	0.5415759805858644	0.19110018297698045	0.19903172620511714	0.43382554743369073
ENSG00000003509	NDUFAF7	DEE	128	0.6521972649860968	0.46712108450245715	1.3370860260171403e-06	1.431496695062949e-14	0.9140165409578025	0.9863216566678172
ENSG00000003509	NDUFAF7	EPI	174	0.39517210183942275	0.850056516855261	0.7402558589970256	0.11111041737753491	0.833781010469768	0.8222368028833245
ENSG00000003509	NDUFAF7	GGE	141	0.8259773827004184	0.27009845977753066	0.10263855145307403	0.0001469427087892609	0.8038769547518257	0.9095303688549008
ENSG00000003509	NDUFAF7	NAFE	149	0.6973610380441351	0.8588246150878329	0.8369983264885941	0.0010002088601203793	0.7000363045100938	0.4557730873909017
ENSG00000003756	RBM5	DEE	104	0.02561371214665771	0.48936708953900854	0.00014398120292956896	0.0028780268041444412	0.09205875511736966	0.7795182785301659
ENSG00000003756	RBM5	EPI	129	0.0009662374179326803	0.5116418577698815	0.49308351910913695	0.8566724483133914	0.020120093065978065	0.6628605767357824
ENSG00000003756	RBM5	GGE	106	0.3798288280364486	0.4678572260218059	0.9492429091674544	0.0352922818249474	0.7790252707025727	0.6851172531998126
ENSG00000003756	RBM5	NAFE	113	0.21454371675622086	0.9123088846508842	0.3897936262421342	0.42601199153935065	0.7511847067064638	0.7101400416334545
ENSG00000003987	MTMR7	DEE	209	0.10229265536666339	0.7438420082464756	4.41269898021904e-07	3.930484613206352e-09	0.30727433058462883	0.6885294673632308
ENSG00000003987	MTMR7	EPI	284	0.719148033477932	0.7738832564924989	0.17874155858221652	0.9394475378258936	0.8081499366905657	0.3625823178889357
ENSG00000003987	MTMR7	GGE	228	0.4912411763239527	0.470786175064308	0.003910297606282888	0.040826808292981694	0.5902210919689026	0.8305942551139434
ENSG00000003987	MTMR7	NAFE	244	0.5244549869570809	0.6858256336181361	0.014590113825502517	0.20694547084035925	0.5912716335800319	0.23250563591667953
ENSG00000003989	SLC7A2	DEE	198	0.8492074842787141	0.1835309130394733	2.6844142462205606e-05	3.7044702200024594e-05	0.40180949640686775	0.6994718514963898
ENSG00000003989	SLC7A2	EPI	264	0.6976656994016577	0.8393889869206624	0.26929493917586306	0.8967084675825239	0.8388746367158842	0.44476394722704826
ENSG00000003989	SLC7A2	GGE	212	0.412944819669846	0.30684501620814025	0.09830808290031341	0.1113782056338599	0.736442858693986	0.6437642282471963
ENSG00000003989	SLC7A2	NAFE	220	0.6530544303354395	0.5807108699133379	0.029918326390931713	0.7387969387225023	0.4338858507549056	0.25039977975681904
ENSG00000004059	ARF5	DEE	28	0.7746449484174913	0.39714367795168415	0.01551669243880459	0.004365056266170005	0.8978249215443384	0.9140970379615323
ENSG00000004059	ARF5	EPI	35	0.3139949294167098	0.21923371949961099	0.6676361499417204	0.9089565576682799	0.5368103231902432	0.6824844275441828
ENSG00000004059	ARF5	GGE	30	0.3680941270855913	0.10834540124714033	0.5472082566136106	0.8391341728213169	0.5085058830444833	0.6618052704428252
ENSG00000004059	ARF5	NAFE	33	0.411014999322865	0.10600835938974203	0.9630841394997063	0.7803722743021264	0.4612145038606661	0.8067633676278113
ENSG00000004139	SARM1	DEE	123	0.19909354752367758	0.05630981969131122	2.9707884512714076e-07	0.0018478478136175517	0.003062757551969414	0.008997651809397844
ENSG00000004139	SARM1	EPI	157	0.21994341986703	0.06803235494674507	0.06298507012209409	0.13741863198775342	0.030358706683451146	0.1360675933435326
ENSG00000004139	SARM1	GGE	123	0.7965535834052749	0.0007805689781740638	0.004150155948364099	0.643403248426799	0.005484257641322336	0.1830194815186149
ENSG00000004139	SARM1	NAFE	128	0.05070276429261498	0.8632629408293679	0.12444133588307008	0.3703082462879129	0.2879202550099598	0.7712956196441916
ENSG00000004142	POLDIP2	DEE	50	0.8560956801240389	0.7740142964030774	0.01747894264611915	0.00021805336713097095	0.9976955011674264	0.9811437457032943
ENSG00000004142	POLDIP2	EPI	66	0.16759438200083523	0.27164540128393616	0.5025931438875304	0.8698693931769858	0.2997602702824496	0.19452752085728703
ENSG00000004142	POLDIP2	GGE	52	0.7247596138449892	0.2555174110768734	0.8082804348036746	0.025854784531094733	0.7386586549685578	0.5905643324329442
ENSG00000004142	POLDIP2	NAFE	58	0.6248287141990609	0.41137028485801275	0.6772011040697483	0.2798202517753569	0.6587501424859674	0.3439185116219977
