gene_id	gene_name	group	n_variants	p_constraint	p_gerp	p_pathogenicity	p_pLoF	p_missense	p_unified
ENSG00000000419	DPM1	DEE	58	0.9161947596000826	0.786127396402762	0.18556162717404473	0.00023596387356790327	0.1549364879318681	0.2587393565215998
ENSG00000000419	DPM1	EPI	77	0.4570481017426775	0.854766670440793	0.953953953930934	0.001169415384733012	0.02406832180903834	0.027015100479216694
ENSG00000000419	DPM1	GGE	66	0.9071450472584308	0.698274302200453	0.8031429486963819	7.949811388021842e-05	0.5247121426720889	0.049533990416432985
ENSG00000000419	DPM1	NAFE	62	0.577292994150764	0.848512710242191	0.2744881825026773	0.003303774670655295	0.15041295132250176	0.12850445189641843
ENSG00000000457	SCYL3	DEE	138	0.8815648980831952	0.22077636570555367	0.2898593038889369	1.741735849116327e-10	6.783989020342152e-07	0.06398739710889295
ENSG00000000457	SCYL3	EPI	181	0.4354597487987413	0.8957337559274946	0.8956949455454895	0.3035290907335182	0.8865882642403464	0.9056051343099859
ENSG00000000457	SCYL3	GGE	145	0.2832752410209698	0.9565072868729426	0.5715592190036831	0.00124899035440814	0.048441792582712806	0.48861898741844134
ENSG00000000457	SCYL3	NAFE	152	0.26633943525680914	0.9225136470339135	0.23917471500949802	0.2942581014085389	0.010498501959524948	0.6254853186591176
ENSG00000000460	C1orf112	DEE	139	0.7463680487307836	0.6439228525446804	0.322503729053892	0.0020726543585217003	1.9913513154819063e-11	0.8195185320503481
ENSG00000000460	C1orf112	EPI	183	0.18466732822213858	0.5830866601335174	0.009020390112986634	0.5263947321315763	0.5006038161257162	0.02317608517228894
ENSG00000000460	C1orf112	GGE	150	0.9578351573406415	0.8929494282052709	0.29725766884115357	0.04335541965031646	0.008733438426955764	0.8623779488617338
ENSG00000000460	C1orf112	NAFE	154	0.5082305516903218	0.6386908105177884	0.0022205609932185984	0.1739665728335569	0.40730679526266356	0.013350113778160998
ENSG00000000938	FGR	DEE	76	0.6747593413974882	0.7948040990715335	0.07252830113177638	0.009350611143926024	0.0003780734883871189	0.4790210775411461
ENSG00000000938	FGR	EPI	109	0.8502602252080365	0.7003081848111724	0.6295688855273365	0.78179694905924	0.4044559263106223	0.9620073451245612
ENSG00000000938	FGR	GGE	82	0.2987372112648167	0.321882973613709	0.2305763241319901	0.5156071595064748	0.062295838141578415	0.5308132978060848
ENSG00000000938	FGR	NAFE	95	0.9295851453071367	0.37853300145836666	0.18990907372787091	0.5449416576107229	0.3831216262937792	0.7150031980816123
