Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,SCHEMA p-value
ENSG00000002016,RAD52,meta,165,0.131903103720321,0.5786493315339842,0.7857233153160205,0.8463098655113502,0.6157962158045335,0.46460738315048034,0.741
ENSG00000002330,BAD,meta,68,0.6310725501564636,0.025667226631036526,0.8556280565224252,0.2296266157628401,0.45723170246010447,0.19416963794893655,0.43
ENSG00000002549,LAP3,meta,171,0.4583498424227681,0.4431550416325343,0.9760310739094659,0.62131810583873,0.005456366138646462,0.7373536728482764,0.741
ENSG00000002587,HS3ST1,meta,140,0.031219567403632156,0.8223457960225828,0.09962887664359751,0.8278116427764133,0.0016992974927543408,0.08096223933228909,0.666
ENSG00000002726,AOC1,meta,326,0.9520630731650601,0.7541548696926479,0.38172812188134786,0.0008426093092326201,0.07343761227335635,0.5867183994348026,0.364
ENSG00000002745,WNT16,meta,145,0.25529434609170326,0.4469417500304036,0.6376966922944748,0.4659484976375913,0.019732698566355296,0.6677892789631288,0.303
ENSG00000002746,HECW1,meta,555,0.2583171314471859,0.7400823538385018,0.6504021109255403,0.001573843088645653,0.8008504287846596,0.2442156877733037,0.113
ENSG00000002822,MAD1L1,meta,314,0.10421387825227292,0.5675462457000593,0.5274298525529351,0.7149859029947327,0.6780892359908801,0.5773961012718232,0.709
ENSG00000002834,LASP1,meta,83,0.738806497091437,0.5531192022742357,0.5471629317804777,0.3021182078174199,0.5749962982865726,0.8854523248090904,0.529
ENSG00000002919,SNX11,meta,108,0.8482640944162236,0.4039314183919078,0.8324029900410648,0.6841469524468804,0.7330980331693642,0.9572423659204241,0.465
ENSG00000002933,TMEM176A,meta,70,0.7076617765337487,0.7014206568057877,0.9788833922717326,0.25002784317400534,0.13152553036184358,0.9869985365478237,1.0
ENSG00000003056,M6PR,meta,118,0.614886234596107,0.35290720992438795,0.12294902439493151,0.41979841186426703,0.6336609473941928,0.35992051556688043,0.503
ENSG00000003137,CYP26B1,meta,183,0.08023738974517626,0.8658671239599267,0.6086556714161013,0.7629473740570315,0.13667763947987963,0.48338908598128183,0.464
ENSG00000003147,ICA1,meta,164,0.2826408694728376,0.7588196622860628,0.02149428411282128,0.04200730097760277,0.7800026222168942,0.14181889769761982,0.654
ENSG00000003249,DBNDD1,meta,62,0.08085141009528084,0.021625951993285902,0.42804430866198384,0.8978564726989746,0.008572734741451867,0.06020205612365669,0.601
ENSG00000003393,ALS2,meta,563,0.5576325885280965,0.1684908031633752,0.6991910443628868,0.5491231961155687,0.5970422522064074,0.6824446761118199,0.845
ENSG00000003400,CASP10,meta,202,0.06131008834805159,0.2011013700228953,0.4659759425606177,0.38233893180626477,0.0011224250514966223,0.13037390323894296,0.947
ENSG00000003402,CFLAR,meta,102,0.8216602745911943,0.04888387195043041,0.18673605150912867,0.9984778883504755,0.23417450118686078,0.26211879870255583,0.758
ENSG00000003436,TFPI,meta,74,0.09201402075573714,0.005828143375067106,0.6463406013391486,0.9051083470659906,0.093033636533588,0.04888787165981076,1.0
ENSG00000003509,NDUFAF7,meta,222,0.5491754204388596,0.6455896888062183,0.448974158964385,0.7733495452048972,0.71515047601419,0.9177145276638583,1.0
ENSG00000003756,RBM5,meta,183,0.7868142322266244,0.01982807571498029,0.7087502116946156,0.03818032501186767,0.5849878950989662,0.14520990487004673,0.726
ENSG00000003987,MTMR7,meta,369,0.5814336521139427,0.025864024016342944,0.9774251577442726,0.5602951594260841,0.00036348951802085325,0.19340295349103964,0.373
