Gene ID,Gene Name,Group,Constraint p-value,Pathogenicity p-value,pLoF p-value,Unified Model p-value,Epi25 p-value
ENSG00000005059,MCUB,DEE,0.3696292122775084,0.1596285927658626,0.9458887707703733,0.3713950049814837,
ENSG00000005073,HOXA11,DEE,0.8210513708834167,0.1925994579593225,,0.4105159830827788,0.096297
ENSG00000005075,POLR2J,DEE,0.8755612272821525,0.8602271782142966,0.9178917254197,0.9957888403611728,0.97994
ENSG00000005100,DHX33,DEE,0.9119333971581924,0.6070228844362833,0.2157130523384647,0.5848457083842582,
ENSG00000005102,MEOX1,DEE,0.953365673055662,0.7804805230567838,0.8703665738826185,0.992105450357539,
ENSG00000005108,THSD7A,DEE,0.0548316670026772,0.9281211967986446,0.9139880460187064,0.2914863167407763,
ENSG00000005156,LIG3,DEE,0.5463633594053061,0.0287594110009757,0.4578186815475281,0.1409010918577982,
ENSG00000005175,RPAP3,DEE,0.8964344915743975,0.1975387522367981,0.9957710761490334,0.6308202419377062,
ENSG00000005187,ACSM3,DEE,0.7418860033914714,0.9291595537618706,0.3086502495993016,0.7421938570408833,
ENSG00000005189,REXO5,DEE,0.8045351463862638,0.7387216660905015,0.7252330829617633,0.9543709814556104,
ENSG00000005194,CIAPIN1,DEE,0.01712903068553,0.8604523879738686,0.6676014937653532,0.1110121763779468,
ENSG00000005206,SPPL2B,DEE,0.5264898037883086,0.8087669368854336,0.998367274795504,0.9097938482021452,
ENSG00000005243,COPZ2,DEE,0.7212521956027476,0.7283762937688916,0.1084888282870646,0.4233692199410261,
ENSG00000005249,PRKAR2B,DEE,0.8274172544695703,0.2868001698221016,0.6756998626942546,0.7455701027726527,0.17596
ENSG00000005339,CREBBP,DEE,0.0007111785007538,0.0381508422398571,0.9416585068535984,0.0003796523446858,0.12092
ENSG00000005379,TSPOAP1,DEE,0.0024497564915823,0.3983742159989734,0.5310939637135886,0.0110347132402103,
ENSG00000005381,MPO,DEE,0.2121004840394895,0.0161076338460921,0.9163126228489192,0.0620792357492324,
ENSG00000005421,PON1,DEE,0.9156305839813734,0.2964427056146657,0.7266984396029735,0.7405110522657029,
ENSG00000005436,GCFC2,DEE,0.9737155894450472,0.5572515374266913,0.996422683576031,0.9479098013121494,
ENSG00000005448,WDR54,DEE,0.9720183960559614,0.5751298145985777,0.4159968139175228,0.7670374394291333,
ENSG00000005469,CROT,DEE,0.9416568707319436,0.9500038020486972,0.679471455345726,0.9801372658306234,
ENSG00000005471,ABCB4,DEE,0.9666058308154633,0.3951262661638558,0.0074401302558107,0.049518784121095,
ENSG00000005483,KMT2E,DEE,0.2551460641528205,0.9368174594960472,0.2981319837013791,0.4471989637689142,
ENSG00000005486,RHBDD2,DEE,0.8480602772173413,0.3224959438902577,0.6854848531805952,0.7335166495201387,
ENSG00000005513,SOX8,DEE,0.7530877978354369,0.9161569324820172,0.8899939223315612,0.9882951526651838,
ENSG00000005700,IBTK,DEE,0.4059950451456225,0.3305000230156709,0.8903655742765204,0.6580621760467709,0.51877
ENSG00000005801,ZNF195,DEE,0.9238685486881312,0.9974749197540028,0.9452065787996592,0.9995865609790074,
ENSG00000005812,FBXL3,DEE,0.8198786285460916,0.1762271942444566,0.5900919924860695,0.5944476266010377,0.049962
ENSG00000005844,ITGAL,DEE,0.9016992809871384,0.0680535144803953,0.9520806754436352,0.3392916209997094,0.85375
ENSG00000005882,PDK2,DEE,0.7944546616091316,0.1442042516788164,0.7222183558596932,0.4652676579424437,
ENSG00000005884,ITGA3,DEE,0.2667155393055666,0.5194110582811722,0.8967673899517548,0.6465876364896368,
ENSG00000005961,ITGA2B,DEE,0.7977147201494241,0.539310586934485,0.960247633119382,0.9350536646477732,0.97076
ENSG00000005981,ASB4,DEE,0.7935666563026569,0.6767779867380896,0.6024426381997394,0.9329004627825532,
ENSG00000006007,GDE1,DEE,0.9110176932525018,0.1010118001740067,0.5682708041935316,0.3834381829630713,
ENSG00000006015,REX1BD,DEE,0.6226569704387019,0.0989794390521562,0.0193387382813828,0.0036701594779776,
ENSG00000006016,CRLF1,DEE,0.0125311600931571,0.8820718389920867,0.8885430248253543,0.0944936708388078,
ENSG00000006025,OSBPL7,DEE,0.7407621441810688,0.5060178156982885,0.1502486297357873,0.3750934712789001,
ENSG00000006042,TMEM98,DEE,0.6393220004346006,0.5074061802814176,0.7767262304984865,0.8877311407036795,
ENSG00000006047,YBX2,DEE,0.5178935061888666,0.4576290282716836,0.7057355654043103,0.7950610301252805,0.47139
ENSG00000006059,KRT33A,DEE,0.9329426363735362,0.98860443914411,0.2079034104812809,0.6548962872427516,
ENSG00000006062,MAP3K14,DEE,0.0951155282885157,0.0206762478652335,0.6952835639233689,0.0356739486182611,
ENSG00000006071,ABCC8,DEE,0.1518515187082038,0.8685420357438534,0.9945222682688484,0.5437309698219737,0.1333
ENSG00000006116,CACNG3,DEE,0.9503465497485664,0.0088747919352678,,0.0295671659164315,0.86517
ENSG00000006118,TMEM132A,DEE,0.310801298495879,0.998644071852681,0.0243354003671994,0.1130704943495127,
ENSG00000006128,TAC1,DEE,0.8175973517465795,0.1422144186622435,,0.3241303864245413,0.47772
ENSG00000006194,ZNF263,DEE,0.85970481026168,0.4595594100611424,0.9648574765065352,0.8586011023950442,
ENSG00000006210,CX3CL1,DEE,0.5098096311059644,0.7749516755421522,0.5960202439404261,0.8542616498165632,
