gene_id	gene_name	group	n_variants	p_unified
ENSG00000002822	MAD1L1	EPI	312	0.6484182404331609
ENSG00000002822	MAD1L1	GGE	241	0.38749902427877314
ENSG00000002822	MAD1L1	NAFE	272	0.28214694699528897
ENSG00000002834	LASP1	DEE	60	0.7290145064608946
ENSG00000002834	LASP1	EPI	70	0.3962657693802132
ENSG00000002834	LASP1	GGE	59	0.8364302744262404
ENSG00000002834	LASP1	NAFE	65	0.432287654914852
ENSG00000002919	SNX11	DEE	52	0.9967668013810774
ENSG00000002919	SNX11	EPI	74	0.718669255844441
ENSG00000002919	SNX11	GGE	55	0.15599656154193833
ENSG00000002919	SNX11	NAFE	63	0.41248243891490954
ENSG00000002933	TMEM176A	DEE	51	0.9918121137723843
ENSG00000002933	TMEM176A	EPI	66	0.8773764280478836
ENSG00000002933	TMEM176A	GGE	54	0.9344113145929348
ENSG00000002933	TMEM176A	NAFE	59	0.27416790204838765
ENSG00000003056	M6PR	DEE	52	0.8200455250800256
ENSG00000003056	M6PR	EPI	71	0.0668515663818764
ENSG00000003056	M6PR	GGE	55	0.38165425256508867
ENSG00000003056	M6PR	NAFE	62	0.06751919015584497
ENSG00000003137	CYP26B1	DEE	120	0.8453695283497051
ENSG00000003137	CYP26B1	EPI	143	0.893566465881946
ENSG00000003137	CYP26B1	GGE	123	0.6081494301395032
ENSG00000003137	CYP26B1	NAFE	131	0.9396395493292191
ENSG00000003147	ICA1	DEE	80	0.16563942540297788
ENSG00000003147	ICA1	EPI	104	0.7847460616817081
ENSG00000003147	ICA1	GGE	88	0.5204185657961522
ENSG00000003147	ICA1	NAFE	92	0.7360901561545588
ENSG00000003249	DBNDD1	DEE	46	0.985127998316104
ENSG00000003249	DBNDD1	EPI	58	0.6272845296409907
ENSG00000003249	DBNDD1	GGE	46	0.7555827707881315
ENSG00000003249	DBNDD1	NAFE	56	0.30389130609754034
ENSG00000003393	ALS2	DEE	335	0.048464779964463335
ENSG00000003393	ALS2	EPI	432	0.7474931432656402
ENSG00000003393	ALS2	GGE	349	0.9619197893335609
ENSG00000003393	ALS2	NAFE	363	0.7050781806804497
ENSG00000003400	CASP10	DEE	128	0.012255925755147942
ENSG00000003400	CASP10	EPI	161	0.15375695161010366
ENSG00000003400	CASP10	GGE	133	0.6327497643545372
ENSG00000003400	CASP10	NAFE	141	0.6299578329670167
ENSG00000003402	CFLAR	DEE	52	0.10759719469014813
ENSG00000003402	CFLAR	EPI	74	0.8892958989327061
ENSG00000003402	CFLAR	GGE	57	0.9406026541913493
ENSG00000003402	CFLAR	NAFE	64	0.25510075538094684
ENSG00000003436	TFPI	DEE	30	0.11923286856109559
ENSG00000003436	TFPI	EPI	39	0.6234535629344999
ENSG00000003436	TFPI	GGE	31	0.022157504788296728
ENSG00000003436	TFPI	NAFE	32	0.3964470997424533
ENSG00000003509	NDUFAF7	DEE	128	0.8567581676792918
ENSG00000003509	NDUFAF7	EPI	174	0.8655752240389916
ENSG00000003509	NDUFAF7	GGE	141	0.6629730465605694
ENSG00000003509	NDUFAF7	NAFE	149	0.5623458481407526
ENSG00000003756	RBM5	DEE	104	0.4002148944766427
ENSG00000003756	RBM5	EPI	129	0.8885145407198449
ENSG00000003756	RBM5	GGE	106	0.8045565552928231
ENSG00000003756	RBM5	NAFE	113	0.9492002491368914
ENSG00000003987	MTMR7	DEE	209	0.5464886378950996
ENSG00000003987	MTMR7	EPI	284	0.6877730227208796
ENSG00000003987	MTMR7	GGE	228	0.505360511932445
ENSG00000003987	MTMR7	NAFE	244	0.4935239902509747
ENSG00000003989	SLC7A2	DEE	198	0.2609200920399557
ENSG00000003989	SLC7A2	EPI	264	0.7336035390582405
ENSG00000003989	SLC7A2	GGE	212	0.7233693741163674
ENSG00000003989	SLC7A2	NAFE	220	0.30753258418528734
ENSG00000004059	ARF5	DEE	28	0.798487882717841
ENSG00000004059	ARF5	EPI	35	0.5525293745541524
ENSG00000004059	ARF5	GGE	30	0.4765618259998661
ENSG00000004059	ARF5	NAFE	33	0.3992912515075595
ENSG00000004139	SARM1	DEE	123	0.0024550251203878702
ENSG00000004139	SARM1	EPI	157	0.026814719896136284
ENSG00000004139	SARM1	GGE	123	0.002146361146846385
ENSG00000004139	SARM1	NAFE	128	0.768867101258672
ENSG00000004142	POLDIP2	DEE	50	0.9910927146656151
ENSG00000004142	POLDIP2	EPI	66	0.39880582477045234
ENSG00000004142	POLDIP2	GGE	52	0.5985479099448768
ENSG00000004142	POLDIP2	NAFE	58	0.5327318365130445
ENSG00000004399	PLXND1	DEE	331	0.004875635463278768
ENSG00000004399	PLXND1	EPI	446	0.6365017163483896
ENSG00000004399	PLXND1	GGE	350	0.3724301329149676
ENSG00000004399	PLXND1	NAFE	373	0.7279951597215453
ENSG00000004455	AK2	DEE	66	0.10420905777643273
ENSG00000004455	AK2	EPI	75	0.7887259506899582
ENSG00000004455	AK2	GGE	68	0.494573794290202
ENSG00000004455	AK2	NAFE	73	0.7264117601911155
ENSG00000004468	CD38	DEE	49	0.7819750513784045
ENSG00000004468	CD38	EPI	63	0.3593130568083443
ENSG00000004468	CD38	GGE	51	0.1153611493545573
ENSG00000004468	CD38	NAFE	55	0.47823908103747637
ENSG00000004478	FKBP4	DEE	88	0.5721592923429227
ENSG00000004478	FKBP4	EPI	117	0.6963446818869201
ENSG00000004478	FKBP4	GGE	95	0.5415951684666882
ENSG00000004478	FKBP4	NAFE	107	0.6453201074826587
ENSG00000004487	KDM1A	DEE	54	0.8863635363240068
ENSG00000004487	KDM1A	EPI	79	0.6296655132641009
ENSG00000004487	KDM1A	GGE	61	0.4859920986902867
ENSG00000004487	KDM1A	NAFE	65	0.6315541894757324
ENSG00000004534	RBM6	DEE	191	0.9663152990335593
ENSG00000004534	RBM6	EPI	268	0.7146961617411505
ENSG00000004534	RBM6	GGE	197	0.8020469319344546
ENSG00000004534	RBM6	NAFE	224	0.6424093599470242
ENSG00000004660	CAMKK1	DEE	139	0.12959045954038606
ENSG00000004660	CAMKK1	EPI	182	0.9757523357738356
ENSG00000004660	CAMKK1	GGE	145	0.13886137722314248
ENSG00000004660	CAMKK1	NAFE	156	0.6581420072439035
ENSG00000004700	RECQL	DEE	145	0.5742309534950298
ENSG00000004700	RECQL	EPI	184	0.24897848596968444
ENSG00000004700	RECQL	GGE	156	0.257379432669434
ENSG00000004700	RECQL	NAFE	154	0.844547290896145
ENSG00000004766	VPS50	DEE	60	0.04387872802200519
ENSG00000004766	VPS50	EPI	76	0.39155244079559165
ENSG00000004766	VPS50	GGE	62	0.6865751617715893
ENSG00000004766	VPS50	NAFE	63	0.7163568409763521
ENSG00000004776	HSPB6	DEE	12	0.014477423756646577
ENSG00000004776	HSPB6	EPI	14	0.5753154934154339
ENSG00000004776	HSPB6	GGE	13	0.6577372542156518
ENSG00000004776	HSPB6	NAFE	12	1.5099868606860006e-17
ENSG00000004777	ARHGAP33	DEE	238	0.014145703635987212
ENSG00000004777	ARHGAP33	EPI	300	0.6900639447512138
ENSG00000004777	ARHGAP33	GGE	252	0.03718408429476009
ENSG00000004777	ARHGAP33	NAFE	259	0.8007884305460761
ENSG00000004779	NDUFAB1	DEE	33	0.7348789117147081
ENSG00000004779	NDUFAB1	EPI	41	0.7937866293474949
ENSG00000004779	NDUFAB1	GGE	33	0.8719532797206077
ENSG00000004779	NDUFAB1	NAFE	36	0.9095834758107203
ENSG00000004799	PDK4	DEE	64	0.5577079655997028
ENSG00000004799	PDK4	EPI	75	0.23554449561267865
ENSG00000004799	PDK4	GGE	67	0.16690933877449193
ENSG00000004799	PDK4	NAFE	69	0.7089977671182173
ENSG00000004809	SLC22A16	DEE	166	0.55452582062997
ENSG00000004809	SLC22A16	EPI	210	0.62232884618395
ENSG00000004809	SLC22A16	GGE	167	0.8613402138548526
ENSG00000004809	SLC22A16	NAFE	185	0.24749847770348854
ENSG00000004838	ZMYND10	DEE	110	0.13760711541265405
ENSG00000004838	ZMYND10	EPI	134	0.6296098132058885
ENSG00000004838	ZMYND10	GGE	110	0.41394320360182735
ENSG00000004838	ZMYND10	NAFE	121	0.8631611443015463
ENSG00000004846	ABCB5	DEE	393	0.6685562959555187
ENSG00000004846	ABCB5	EPI	500	0.6925609829464561
ENSG00000004846	ABCB5	GGE	415	0.8959503557909395
ENSG00000004846	ABCB5	NAFE	425	0.6195599479526894
ENSG00000004864	SLC25A13	DEE	159	0.8906313806614751
ENSG00000004864	SLC25A13	EPI	207	0.727375451408925
ENSG00000004864	SLC25A13	GGE	175	0.8369024905772358
ENSG00000004864	SLC25A13	NAFE	171	0.9328975036645457
ENSG00000004866	ST7	DEE	45	0.10333564501892879
ENSG00000004866	ST7	EPI	67	0.814492482775748
ENSG00000004866	ST7	GGE	50	0.9207167501519581
ENSG00000004866	ST7	NAFE	51	0.47428625695098936
ENSG00000004897	CDC27	DEE	42	0.00829029988950847
ENSG00000004897	CDC27	EPI	49	0.5882741036688373
ENSG00000004897	CDC27	GGE	43	0.9336438880245751
ENSG00000004897	CDC27	NAFE	46	0.7832289630727218
ENSG00000004939	SLC4A1	DEE	216	0.8967780648117651
ENSG00000004939	SLC4A1	EPI	261	0.580697996732866
ENSG00000004939	SLC4A1	GGE	215	0.3964355788488243
ENSG00000004939	SLC4A1	NAFE	231	0.2751126858553046
ENSG00000004948	CALCR	DEE	106	0.3281323044393385
ENSG00000004948	CALCR	EPI	144	0.31235070117426983
ENSG00000004948	CALCR	GGE	115	0.011379475532446363
ENSG00000004948	CALCR	NAFE	122	0.1082352374252967
ENSG00000004975	DVL2	DEE	185	0.6651106779059582
ENSG00000004975	DVL2	EPI	236	0.3989228684538292
ENSG00000004975	DVL2	GGE	183	0.6785353289963707
ENSG00000004975	DVL2	NAFE	207	0.7758143849011324
ENSG00000005001	PRSS22	DEE	74	0.9296291340268363
ENSG00000005001	PRSS22	EPI	93	0.9472922733014315
ENSG00000005001	PRSS22	GGE	75	0.9770331018658662
ENSG00000005001	PRSS22	NAFE	81	0.5739845082610775
ENSG00000005007	UPF1	DEE	87	0.14296407212333745
ENSG00000005007	UPF1	EPI	132	0.9221401395075461
ENSG00000005007	UPF1	GGE	95	0.29920910339215356
ENSG00000005007	UPF1	NAFE	105	0.690140466981743
ENSG00000005020	SKAP2	DEE	35	0.961980226002923
ENSG00000005020	SKAP2	EPI	54	0.4261248026388099
ENSG00000005020	SKAP2	GGE	38	0.8474034476523221
ENSG00000005020	SKAP2	NAFE	44	0.4897700858419294
ENSG00000005059	MCUB	DEE	22	0.3798215757537396
ENSG00000005059	MCUB	EPI	31	0.8320995634275123
ENSG00000005059	MCUB	GGE	26	0.32927430422679577
ENSG00000005059	MCUB	NAFE	27	0.9782686237301698
ENSG00000005073	HOXA11	DEE	43	0.46810083845449935
ENSG00000005073	HOXA11	EPI	59	0.08853884897433574
ENSG00000005073	HOXA11	GGE	43	0.6472929425560568
ENSG00000005073	HOXA11	NAFE	52	0.0660032006200427
ENSG00000005075	POLR2J	DEE	25	0.9982290864077965
ENSG00000005075	POLR2J	EPI	31	0.8711733783829071
ENSG00000005075	POLR2J	GGE	27	0.7008071654594756
ENSG00000005075	POLR2J	NAFE	26	0.24578131357325844
ENSG00000005100	DHX33	DEE	179	0.4883281102039214
ENSG00000005100	DHX33	EPI	232	0.631275126677314
ENSG00000005100	DHX33	GGE	189	0.2678157375492283
ENSG00000005100	DHX33	NAFE	195	0.6176259003818321
ENSG00000005102	MEOX1	DEE	71	0.8899680106689538
ENSG00000005102	MEOX1	EPI	78	0.0870710561924921
ENSG00000005102	MEOX1	GGE	71	0.5664973606111179
ENSG00000005102	MEOX1	NAFE	75	0.024321898502430956
ENSG00000005108	THSD7A	DEE	774	0.06915940871821764
ENSG00000005108	THSD7A	EPI	995	0.8990690171252428
ENSG00000005108	THSD7A	GGE	820	0.7892337861057868
ENSG00000005108	THSD7A	NAFE	863	0.4501672403235858
ENSG00000005156	LIG3	DEE	218	0.853196834232488
ENSG00000005156	LIG3	EPI	303	0.5819983958150646
ENSG00000005156	LIG3	GGE	238	0.5507706232102578
ENSG00000005156	LIG3	NAFE	258	0.3131328030324065
ENSG00000005175	RPAP3	DEE	85	0.5472382424936431
ENSG00000005175	RPAP3	EPI	109	0.5167710845841469
ENSG00000005175	RPAP3	GGE	93	0.7139927328068408
ENSG00000005175	RPAP3	NAFE	92	0.8941971668775883
ENSG00000005187	ACSM3	DEE	166	0.7109333198066872
ENSG00000005187	ACSM3	EPI	203	0.4920303743378458
ENSG00000005187	ACSM3	GGE	168	0.9605608743186469
ENSG00000005187	ACSM3	NAFE	186	0.10618386520565629
ENSG00000005189	REXO5	DEE	110	0.6237747883412496
ENSG00000005189	REXO5	EPI	150	0.23967978552714023
ENSG00000005189	REXO5	GGE	118	0.9357472375955113
ENSG00000005189	REXO5	NAFE	128	0.01268349300565334
ENSG00000005194	CIAPIN1	DEE	67	0.11018063324885663
ENSG00000005194	CIAPIN1	EPI	85	0.870837298243724
ENSG00000005194	CIAPIN1	GGE	72	0.8736998583244607
ENSG00000005194	CIAPIN1	NAFE	68	0.7303459137734989
ENSG00000005206	SPPL2B	DEE	157	0.19363813039192074
ENSG00000005206	SPPL2B	EPI	207	0.1031239997474324
ENSG00000005206	SPPL2B	GGE	176	0.2571061596905576
ENSG00000005206	SPPL2B	NAFE	179	0.07764222204385778
ENSG00000005238	ATOSB	DEE	123	0.9796621747129748
ENSG00000005238	ATOSB	EPI	165	0.696801037946829
ENSG00000005238	ATOSB	GGE	125	0.4315096126423088
ENSG00000005238	ATOSB	NAFE	140	0.14083910946696418
ENSG00000005243	COPZ2	DEE	48	0.46431865573743525
ENSG00000005243	COPZ2	EPI	55	0.5291043072817274
ENSG00000005243	COPZ2	GGE	50	0.7227762744453817
ENSG00000005243	COPZ2	NAFE	49	0.30471238832485115
ENSG00000005249	PRKAR2B	DEE	28	0.8885372039449327
ENSG00000005249	PRKAR2B	EPI	42	0.7347407547935754
ENSG00000005249	PRKAR2B	GGE	32	0.8981698723429822
ENSG00000005249	PRKAR2B	NAFE	31	0.7665847566574873
ENSG00000005339	CREBBP	DEE	373	0.0004563014237872988
ENSG00000005339	CREBBP	EPI	511	0.13601110845545897
ENSG00000005339	CREBBP	GGE	393	0.4316925185494289
ENSG00000005339	CREBBP	NAFE	426	0.451223191769466
ENSG00000005379	TSPOAP1	DEE	419	0.019013414112046993
ENSG00000005379	TSPOAP1	EPI	511	0.11261305033770341
ENSG00000005379	TSPOAP1	GGE	423	0.768358097315135
ENSG00000005379	TSPOAP1	NAFE	452	0.6108351086772339
ENSG00000005381	MPO	DEE	218	0.055952887775717844
ENSG00000005381	MPO	EPI	284	0.4031963562454337
ENSG00000005381	MPO	GGE	227	0.6237019810093445
ENSG00000005381	MPO	NAFE	244	0.242739404552799
ENSG00000005421	PON1	DEE	84	0.653479652413161
ENSG00000005421	PON1	EPI	109	0.8622134452804543
ENSG00000005421	PON1	GGE	87	0.17945662606602225
ENSG00000005421	PON1	NAFE	96	0.7395065242100429
ENSG00000005436	GCFC2	DEE	32	0.9977996383592165
ENSG00000005436	GCFC2	EPI	49	0.31627679349687443
ENSG00000005436	GCFC2	GGE	36	0.7210536380560588
ENSG00000005436	GCFC2	NAFE	40	0.6638578034758524
ENSG00000005448	WDR54	DEE	85	0.9922975161487314
ENSG00000005448	WDR54	EPI	110	0.6781326172413129
ENSG00000005448	WDR54	GGE	91	0.460877838340376
ENSG00000005448	WDR54	NAFE	93	0.9321941894118053
ENSG00000005469	CROT	DEE	112	0.9882025093267983
ENSG00000005469	CROT	EPI	152	0.5530577011913349
ENSG00000005469	CROT	GGE	126	0.02957525509668543
ENSG00000005469	CROT	NAFE	125	0.716009182536292
ENSG00000005471	ABCB4	DEE	225	0.06276367485356285
ENSG00000005471	ABCB4	EPI	302	0.5566246460397337
ENSG00000005471	ABCB4	GGE	239	0.9589545964867838
ENSG00000005471	ABCB4	NAFE	259	0.14533788490960683
ENSG00000005483	KMT2E	DEE	355	0.4185251154837877
ENSG00000005483	KMT2E	EPI	466	0.00155984280115536
ENSG00000005483	KMT2E	GGE	365	0.4048137085935738
ENSG00000005483	KMT2E	NAFE	390	0.008062996643170943
ENSG00000005486	RHBDD2	DEE	78	0.9660397117168519
ENSG00000005486	RHBDD2	EPI	101	0.1449412374026976
ENSG00000005486	RHBDD2	GGE	84	0.32602772750186493
ENSG00000005486	RHBDD2	NAFE	90	0.3706754969738456
ENSG00000005513	SOX8	DEE	110	0.9885500612015773
ENSG00000005513	SOX8	EPI	128	0.6276082408136063
ENSG00000005513	SOX8	GGE	112	0.8680846792318099
ENSG00000005513	SOX8	NAFE	110	0.8077077310344855
ENSG00000005700	IBTK	DEE	143	0.8828172730523012
ENSG00000005700	IBTK	EPI	206	0.39002753494948383
ENSG00000005700	IBTK	GGE	164	0.95476362840495
ENSG00000005700	IBTK	NAFE	165	0.3633891664537301
ENSG00000005801	ZNF195	DEE	105	0.7367034471510951
ENSG00000005801	ZNF195	EPI	157	0.9575794364569296
ENSG00000005801	ZNF195	GGE	121	0.8580611852298603
ENSG00000005801	ZNF195	NAFE	130	0.6162927401558667
ENSG00000005812	FBXL3	DEE	35	0.6262908515995141
ENSG00000005812	FBXL3	EPI	43	0.9371482142305833
ENSG00000005812	FBXL3	GGE	37	0.803352488575911
ENSG00000005812	FBXL3	NAFE	35	0.8546453622142134
ENSG00000005844	ITGAL	DEE	224	0.43446485734240536
ENSG00000005844	ITGAL	EPI	291	0.09653971214485131
ENSG00000005844	ITGAL	GGE	232	0.20606494102211634
ENSG00000005844	ITGAL	NAFE	252	0.3804516428883714
ENSG00000005882	PDK2	DEE	60	0.0582123854421176
ENSG00000005882	PDK2	EPI	86	0.6159534608785422
ENSG00000005882	PDK2	GGE	71	0.5881283388244583
ENSG00000005882	PDK2	NAFE	71	0.5762034079085816
ENSG00000005884	ITGA3	DEE	208	0.6927642798731904
ENSG00000005884	ITGA3	EPI	264	0.6364076676095953
ENSG00000005884	ITGA3	GGE	215	0.5518281544710699
