Gene Name,Group,G4E,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Epi25 DM p-value,Epi25 PTV p-value,Unified Model p-value
SCN1A,DEE,True,273,7.502530687398019e-05,0.25722587206186376,6.500789771437752e-08,3.703668534263876e-20,0.8562533843122108,1.4439e-05,6.3195e-09,3.208167651893076e-19
PCDHAC2,DEE,False,215,0.10586557909510765,0.0026421940223562987,3.6730003278874394e-15,0.04097490749390322,1.1477933258020366e-07,0.6858,0.74156,5.397713159713694e-17
PCDHGA11,DEE,False,267,0.5396159275740159,0.5544165893469941,1.685419235824396e-17,7.869999465666527e-06,1.8027771692007079e-13,,0.73016,4.551352839667794e-16
PCDHGA1,GGE,False,661,4.963108343450983e-05,1.6584842853259221e-06,3.126382808395963e-06,0.061696482830887904,0.0009339664494272428,,0.42348,8.264610238865681e-14
DEPDC5,NAFE,True,349,0.9483281416470409,0.15029305145771252,0.8857288170720259,5.664037829895637e-24,0.003924737217817497,0.32267,2.2e-16,2.0152475145689296e-13
SP4,GGE,False,234,0.9986730741039886,0.03716836286555759,0.37412479454839465,0.9273737062808511,0.00017235391801081538,0.71125,0.035919,4.251029941287571e-13
SCN2A,DEE,True,410,0.3375136518427727,0.5837355714411259,2.919495189887772e-13,6.284278991328432e-08,0.00010647695138417644,0.00041556,0.026317,3.3984133578851236e-12
PCDHGA10,NAFE,False,310,7.505368679457123e-13,0.1254377756820586,0.24985998892887204,0.4001391591846034,5.003493209543722e-07,,0.94001,5.440559895009561e-12
SCN1A,EPI,True,440,0.028009226884522894,0.43033934102255256,3.76121282257045e-07,3.172888261536501e-07,0.001209992345088234,0.00016047,3.4869e-08,8.75001925943628e-12
PCDHGA1,NAFE,False,658,0.01879598771486201,2.9245224576826426e-06,8.757968778049415e-05,0.05051213776394539,0.00014280110114313092,,0.69613,2.250341160042966e-11
STXBP1,DEE,True,56,0.642622708815749,0.3119837324758382,5.484850100738251e-09,8.892470206317066e-12,0.018718440981131432,8.429e-05,2.2243e-05,6.536068902123101e-11
SLC6A1,DEE,True,60,0.27081260974471283,0.23808100373238542,2.6920809716280444e-11,3.822456371618552e-07,0.26379124150530997,0.00017125,0.0018177,6.93431542649262e-11
