gene_id	gene_name	group	n_variants	p_constraint	p_gerp	p_pathogenicity	p_pLoF	p_missense	p_unified
ENSG00000001036	FUCA2	meta	158	0.8356767141981525	0.5342597366995792	0.14637932600087128	0.6746661168630127	2.0234974899350673e-05	0.2404368378468835
ENSG00000001084	GCLC	AFR (exomes)	5	0.9023467123361758	0.6552365049733979	0.667396755310891		0.4893971864016493	0.8749738664300427
ENSG00000001084	GCLC	AFR (genomes)	6	0.3745443270102451	0.8941732851105004	0.4839927728373026	0.41706749404605103	0.72337020100146	0.7865083703948346
ENSG00000001084	GCLC	AMR (exomes)	9	0.3422283663872967	0.2844473563510738	0.8349604884079771	0.5100815745418675	0.20158415404643343	0.648319326124869
ENSG00000001084	GCLC	EAS (exomes)	5						
ENSG00000001084	GCLC	EST (genomes)	1						nan
ENSG00000001084	GCLC	EUR (exomes)	34	0.7792001057930356	0.7522670432459755	0.688330168547732	0.2712405217120383	0.2082931410813345	0.7184377008783465
ENSG00000001084	GCLC	EUR-N (exomes)	15	0.2516284896236348	0.8689508727089481	0.47155715517577856		0.4642761860208048	0.5577438002180185
ENSG00000001084	GCLC	FIN (exomes)	1						nan
ENSG00000001084	GCLC	meta	102	0.2668974460178815	0.07595278550218161	0.8158354752129731	0.41282239434348067	0.016345533599178397	0.356803307910294
ENSG00000001167	NFYA	AFR (genomes)	2						
ENSG00000001167	NFYA	AMR (exomes)	1						nan
ENSG00000001167	NFYA	ASJ (exomes)	4						
ENSG00000001167	NFYA	EAS (exomes)	1						nan
ENSG00000001167	NFYA	EST (genomes)	1						nan
ENSG00000001167	NFYA	EUR (exomes)	23	0.7648836487004227	0.3634292721798449	0.15454948840697308	0.27167409127481273	0.632774414170892	0.4427299720737652
ENSG00000001167	NFYA	EUR-N (exomes)	8	0.9861606631356383	0.19336014905567842	0.12250655783657036	0.5692074151431213	0.1266331522166551	0.3349697510113191
ENSG00000001167	NFYA	FIN (exomes)	4						
ENSG00000001167	NFYA	meta	75	0.9212334910322239	0.6978739703718455	0.41816011434444467	0.4588584909328046	0.9638195584997042	0.904536182050076
ENSG00000001460	STPG1	AFR (exomes)	3						
ENSG00000001460	STPG1	AFR (genomes)	7	0.3868853058854985	0.3801928568130484	0.5731623864297506	0.4541836983927299	0.3438935272984931	0.30252205614368866
ENSG00000001460	STPG1	AMR (exomes)	14	0.4698410848445631	0.19067314858611903	0.8372067835108492		0.9170866574140526	0.5454856951537992
ENSG00000001460	STPG1	ASJ (exomes)	2						
ENSG00000001460	STPG1	EAS (exomes)	11	0.26599209300003224	0.9507132092798474	0.39194481898246253	0.7839016360513649	0.5763239397127855	0.6011437838116044
ENSG00000001460	STPG1	EST (genomes)	2						
ENSG00000001460	STPG1	EUR (exomes)	33	0.4799294276512873	0.5663050219955708	0.3004564707797225	0.12251932814304393	0.03164886367702325	0.2549016890894186
ENSG00000001460	STPG1	EUR-N (exomes)	19	0.9807467222019897	0.06486811456240366	0.685410748465653	0.10206404331843617	0.05743803006547504	0.07114168218600767
ENSG00000001460	STPG1	FIN (exomes)	3						
ENSG00000001460	STPG1	FIN (genomes)	1						nan
ENSG00000001460	STPG1	SAS (exomes)	1						nan
ENSG00000001460	STPG1	meta	119	0.8070064126763127	0.25501580639681876	0.5956127668944746	0.01814445405663962	0.00804257923817989	0.06427062111884997
ENSG00000001461	NIPAL3	AFR (exomes)	5	0.9799944085562433	0.562760598665001	0.5445325603277495		6.334713923216616e-16	1.0
ENSG00000001461	NIPAL3	AFR (genomes)	9	0.010843535687060299	0.10041087748088648	0.005663689067254299		0.05111586049440291	0.008106316361025621
ENSG00000001461	NIPAL3	AMR (exomes)	10	0.497971258908787	0.923534461997406	0.6628288843724581		0.6195216328832266	0.8857678852737153
ENSG00000001461	NIPAL3	ASJ (exomes)	1						nan
ENSG00000001461	NIPAL3	EAS (exomes)	11	0.17489095211201267	0.21933062691755198	0.42169903103539297		0.2721520515617924	0.4197166543507528
ENSG00000001461	NIPAL3	EST (genomes)	1						nan
ENSG00000001461	NIPAL3	EUR (exomes)	51	0.5130292331179471	0.8603263895397305	0.08153497979690429	0.9403153702155234	0.44004775500457305	0.36257998229882366
ENSG00000001461	NIPAL3	EUR-N (exomes)	19	0.5818488929776	0.27192661068907115	0.32753412282024763	0.3076180779884317	0.7842747794562067	0.46277053686814906
ENSG00000001461	NIPAL3	FIN (exomes)	2						
ENSG00000001461	NIPAL3	FIN (genomes)	1						nan
ENSG00000001461	NIPAL3	GPC_genomes_EUR	1						nan
ENSG00000001461	NIPAL3	meta	152	0.11643669279704359	0.5415917740285071	0.9684886896590114	0.41123742931858953	0.0195496533160886	0.4936620673278522
ENSG00000001561	ENPP4	AFR (exomes)	2						
ENSG00000001561	ENPP4	AFR (genomes)	9	0.46395880433030195	0.3507844704051059	0.7704190377472758	0.934765569788213	0.5820358071872551	0.6247830892783937
ENSG00000001561	ENPP4	AMR (exomes)	10	0.04446181374120822	0.32599817340705517	0.7003597801098014		0.08895123154930998	0.1180366843619001
ENSG00000001561	ENPP4	ASJ (exomes)	4						
