Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,SCHEMA p-value
ENSG00000003393,ALS2,meta,563,0.5576325866736369,0.1684908245380388,0.6991910384001053,0.5491232005908808,0.5970422574639085,0.6824447055460482,0.845
ENSG00000003400,CASP10,meta,202,0.0613100888955108,0.2011013698803907,0.4659759423360562,0.3823389320831301,0.0011224250476116,0.1303739031859491,0.947
ENSG00000003402,CFLAR,meta,102,0.821660275787353,0.048883869170286,0.1867360513047269,0.9984778906673556,0.2341744998108527,0.2621187894992797,0.758
ENSG00000003436,TFPI,meta,74,0.092014021729343,0.0058281433909926,0.6463406030801218,0.905108341415233,0.0930336357840019,0.0488878717614947,1.0
ENSG00000003509,NDUFAF7,meta,222,0.5491754194619409,0.6455897115757852,0.4489741580578891,0.7733495450297245,0.7151504756929615,0.9177145309916892,1.0
ENSG00000003756,RBM5,meta,183,0.786814232456016,0.0198280760186125,0.7087502062108767,0.0381803251914276,0.5849878925215319,0.1452099063843051,0.726
ENSG00000003987,MTMR7,meta,369,0.5814336518161537,0.0258640265512566,0.9774251581455076,0.5602951579690822,0.0003634895169928,0.1934029658744858,0.373
ENSG00000003989,SLC7A2,meta,362,0.8668815694091092,0.7296142758207862,0.489739589442706,0.0840607850529818,0.0872310468506215,0.6082288440647032,0.817
ENSG00000004059,ARF5,meta,34,0.5670670215868323,0.3720732337249643,0.2055404865413457,0.9225930611926892,0.5546033920431224,0.5117301184888267,0.804
ENSG00000004139,SARM1,meta,129,0.5732710446257618,0.4577376424963757,0.6017712246373501,0.9995799168182236,0.0020450108930135,0.5361240578343505,0.666
ENSG00000004142,POLDIP2,meta,66,0.3045796165670408,0.9105657227935358,0.6135039342884503,0.2210104908423991,0.5395180787696728,0.8140721914495481,0.728
ENSG00000004399,PLXND1,meta,443,0.620898881284079,0.472584377038174,0.1945586304015822,0.276966172268829,0.0154683224335346,0.6544181834699184,0.355
ENSG00000004455,AK2,meta,85,0.7120485120605297,0.3155465758107019,0.3461444435670692,0.8580919139495712,0.7509424864523633,0.8094118080735273,0.561
ENSG00000004468,CD38,meta,121,0.7955872161358257,0.6664285123485806,0.3449043824060943,0.4372402477418819,0.2813466266785744,0.7407983507016923,0.958
ENSG00000004478,FKBP4,meta,128,0.5447029650982007,0.9069046222055412,0.2090623961187491,0.0718717661558766,0.5505248663802915,0.6422474134303802,0.754
ENSG00000004487,KDM1A,meta,150,0.0168473327501615,0.7585731364761984,0.0251532600611944,0.0850459342289593,0.4105998013557603,0.0110025942337436,0.201
ENSG00000004534,RBM6,meta,350,0.3174614995104771,0.5379824023488957,0.7375175645252041,0.2371697337889788,0.3578833114209527,0.7996352025647785,0.18
ENSG00000004660,CAMKK1,meta,172,0.3022277085547677,0.8735547601174394,0.7963192618911542,0.2098473249889522,0.2573998910775521,0.8122499893869053,0.518
ENSG00000004700,RECQL,meta,231,0.5492812770594291,0.7429305545223441,0.6885302129559121,0.0037995420293612,0.0641120652391561,0.7155005699330834,0.178
ENSG00000004766,VPS50,meta,129,0.6316496619622236,0.2854874590547263,0.7675546483007124,0.0393346200158539,0.1967977331163283,0.6400882509911239,0.287
ENSG00000004777,ARHGAP33,meta,394,0.3767248296989312,0.4807739520022084,7.101097051493957e-08,0.0069993287629494,7.280661840104321e-15,0.677181329860463,1.0
ENSG00000004779,NDUFAB1,meta,52,0.2483689937079929,0.9601234751898684,0.3964375279023757,0.876851929831669,0.369456501554949,0.4797874901583551,1.0
ENSG00000004799,PDK4,meta,117,0.6936952682484815,0.8819658354156756,0.9757716063452184,0.063592674599592,0.224255909879588,0.9616082769133146,0.833
ENSG00000004809,SLC22A16,meta,261,0.385158280497754,0.3996091509749488,0.5168613656763301,0.0050050693380333,0.0330969680762754,0.5405969178166101,0.309
ENSG00000004838,ZMYND10,meta,161,0.0981276994358448,0.6997038867980812,0.1818988784620477,0.1761359094042798,0.0392617280821906,0.2467924228056713,0.958
ENSG00000004846,ABCB5,meta,555,0.6131940000125033,0.5385002101794265,0.1176728868333682,0.0305929464334893,2.253386024361656e-08,0.435654765946992,0.516
ENSG00000004864,SLC25A13,meta,276,0.2569044372545422,0.2288990404362532,0.906004697485457,0.1662992462771866,0.0067585374368383,0.5811758628500281,0.761
ENSG00000004866,ST7,meta,99,0.0838015729163276,0.5269136469206332,0.0353411352423646,0.1491071586589558,0.7367575169348062,0.0286814726203415,0.391
ENSG00000004897,CDC27,meta,60,0.5430469442740053,0.7636047656087869,0.0757370736798004,0.9458170544092652,0.2591568710191942,0.4330321372499359,0.318
ENSG00000004939,SLC4A1,meta,291,0.1185233569005713,0.9859461488483894,0.023151175647796,0.6394071897960056,0.1275085581618738,0.0102584571243035,0.076
ENSG00000004948,CALCR,meta,190,0.0005160856467648,0.3746236537469863,0.6797092348444865,0.2344058962226737,0.0033953978700937,0.0108794419359164,0.219
ENSG00000004975,DVL2,meta,307,0.8643368481416305,0.5270994711124648,0.4411535539194148,0.0335370455318447,0.2864941689612864,0.7379595892075492,0.5
ENSG00000005001,PRSS22,meta,101,0.00946277809183,0.0733160046897189,0.4380261694386582,0.8210436723904946,0.0439332110617491,0.0239270313869711,0.717
ENSG00000005007,UPF1,meta,223,0.7853186637296319,0.5525379879798751,0.0376158623488317,0.0025696313869525,0.3784653825256282,0.0487603354648145,0.058
ENSG00000005020,SKAP2,meta,80,0.2013014553269968,0.1550175847470949,0.6344958578075132,0.3113611406282046,0.3133929969576505,0.3658790026472385,0.126
ENSG00000005059,MCUB,meta,43,0.5936960634560409,0.6329689094924449,0.1810116409779903,0.2640078017731595,0.0289331755534623,0.6785901332406981,0.24
ENSG00000005073,HOXA11,meta,89,0.5844068237631885,0.7277308904739351,0.5297277516266101,0.9576042984321724,0.1294324025132233,0.8903068881788554,0.697
ENSG00000005075,POLR2J,meta,25,0.6541501046337455,0.904844784814416,0.1362926731859342,0.2961034938303615,0.9247152160855624,0.5373556743040231,0.554
ENSG00000005100,DHX33,meta,288,0.1442728661050796,0.5643579868592031,0.4533086463178436,0.1203856204133367,0.0111184033578537,0.5329776463349436,0.985
ENSG00000005102,MEOX1,meta,96,0.2819322542936697,0.6058341210341818,0.7301234251823203,0.4881623065628347,0.1670165224545682,0.8281749205259548,1.0
ENSG00000005108,THSD7A,meta,1317,0.1379609035362656,0.9324291074616412,0.2701099880624972,0.6325812229105026,0.0003402930715545,0.4103786866316412,0.149
ENSG00000005156,LIG3,meta,385,0.1983575228851141,0.949101195272972,0.8728293207818623,0.1700414796999632,0.0014730716463732,0.7445382746826272,0.328
ENSG00000005175,RPAP3,meta,158,0.3677674163874996,0.1960472673371482,0.5767573523864402,0.0055087626237174,0.4424742520411092,0.3029992989845197,0.124
ENSG00000005187,ACSM3,meta,238,0.934382949726789,0.2994381700999516,0.670151940429901,0.16297766918728,0.0019308026394452,0.8428881360227538,0.92
ENSG00000005194,CIAPIN1,meta,96,0.3056573456679387,0.6808413522193224,0.3142265056304964,0.9283071787403928,0.8347360840108005,0.8017347160688346,1.0
ENSG00000005238,ATOSB,meta,166,0.7468257845621131,0.0160389099901055,0.0201931866699516,0.002688789583407,0.3882978774639073,0.0134664968552111,0.0375
ENSG00000005243,COPZ2,meta,74,0.6683850184200013,0.654512683043214,0.5620908834612195,0.497273964855374,0.0754510020982367,0.956231394274328,0.377
ENSG00000005249,PRKAR2B,meta,65,0.8818211212079125,0.71665990255582,0.408480309196873,0.9372852480300912,0.3537304906570386,0.8833241016329666,0.783
ENSG00000005339,CREBBP,meta,745,0.5262575534946975,0.0249656100824677,0.6912809520110534,0.3905155501362498,0.2854481256435293,0.1930994880677582,0.934
ENSG00000005379,TSPOAP1,meta,573,0.0527300054884253,0.3353746218116231,0.8533918369062867,0.5622228627788829,0.6833091910674598,0.3417266761563105,0.0998
ENSG00000005381,MPO,meta,355,0.5856116560055826,0.5819127576239573,0.0171414638964167,0.0118194747682341,0.0175271804471293,0.1150313785461121,0.929
ENSG00000005421,PON1,meta,139,0.8146827178924685,0.6968055548733647,0.3905247400205358,0.3952194770348581,0.0006168200811448,0.7833353049791504,0.954
ENSG00000005436,GCFC2,meta,48,0.3360399117048041,0.1233746988339844,0.192499763665428,0.4285030914578372,0.0326042412505715,0.3554132811318232,0.593
ENSG00000005448,WDR54,meta,148,0.5563940552829203,0.6341494368022523,0.2008030721594957,0.037892310594525,0.1417535847966262,0.6415289201816745,0.232
ENSG00000005469,CROT,meta,215,0.2679311858737076,0.9683458668298348,0.6794063131563635,0.0995744866250271,0.0004124462168588,0.8163849555071805,0.771
ENSG00000005471,ABCB4,meta,428,0.5917127704150713,0.6141593423323755,0.8508643203949077,0.0198766255015953,0.0335141314999653,0.8922878484552664,0.936
ENSG00000005483,KMT2E,meta,602,0.1759993107681559,0.0360826730881108,0.2120576136165106,0.1897700808557429,0.0786677211201932,0.0537245562746456,0.0918
ENSG00000005486,RHBDD2,meta,121,0.0363133192314145,0.0721871071406211,0.3089324596684381,0.5641651645341106,0.0622467176329313,0.0838847095673926,1.0
ENSG00000005513,SOX8,meta,96,0.5461575003356822,0.919344600971298,0.1854903222746705,0.5960810705235167,0.1924351741204323,0.6117801372505988,1.0
ENSG00000005700,IBTK,meta,294,0.0039972808321581,0.717525847119534,0.7824223026308019,0.9286721425678094,4.207242673531011e-05,0.024188807204938,0.196
ENSG00000005801,ZNF195,meta,160,0.8668896336740138,0.5223324868397179,0.4886548527211759,0.0176093143415264,0.0742188326741976,0.8284742003701508,0.54
ENSG00000005810,MYCBP2,meta,1137,0.9239808045384938,0.2022016161050973,0.6384533654584381,0.0002935317855419,0.1992722116041059,0.2166800510799344,0.207
ENSG00000005812,FBXL3,meta,80,0.564349635263032,0.8955502998504059,0.8516095021368071,0.3308008065372604,0.2991708617880505,0.9765536059530836,0.531
ENSG00000005844,ITGAL,meta,386,0.0058626351202953,0.211033660311669,0.0832238438512186,0.9062574393267144,0.682878656500137,0.0514445285443996,1.0
ENSG00000005882,PDK2,meta,98,0.4130145310075087,0.2911641320188615,0.9016909602355596,0.6773423775403785,0.00129183253501,0.390263214992915,0.206
ENSG00000005884,ITGA3,meta,338,0.1002699949615721,0.3810264634156003,0.1896660519431079,0.2295821447727406,0.0007110356342848,0.2699775048100766,0.932
ENSG00000005961,ITGA2B,meta,387,0.5289746378490239,0.9607168236382668,0.8942346932908068,0.0080341099458058,0.0095181767857687,0.9059526936717416,0.526
ENSG00000005981,ASB4,meta,195,0.3390201876949413,0.430151375303702,0.0229578031065512,0.028447769879325,0.0942862002318678,0.0882678684911776,0.412
ENSG00000006007,GDE1,meta,88,0.9643883973072158,0.0490354193105815,0.8128475298633222,0.9972454910784208,0.0124940361709021,0.3176858680160864,0.444
ENSG00000006016,CRLF1,meta,157,0.0373275810336722,0.5035734824534086,0.5109722868666973,0.1429253705716074,0.233457700519429,0.1721227475693169,0.548
ENSG00000006025,OSBPL7,meta,289,0.0209312208427902,0.7724298257891029,0.4634744152099779,0.7744433788046312,0.7341234475576384,0.3044846808770337,0.61
ENSG00000006042,TMEM98,meta,65,0.5855366799778212,0.8637078374909855,0.1718009724647128,0.9280935441331926,0.2287590831442134,0.6632668511299049,0.542
ENSG00000006047,YBX2,meta,93,0.9213925947643709,0.3598189700554426,0.1921846179605326,,5.565683887750539e-06,0.4060111582806148,0.83
