Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,Epi25 DM p-value,Epi25 PTV p-value,G4E,Epi25 min p-value
ENSG00000002587,HS3ST1,DEE,79,0.9322474149202193,0.6007169595582678,0.5173655412494951,0.04566820393077951,0.0029828904480034145,0.9580316354176791,,0.54731,False,0.54731
ENSG00000002726,AOC1,DEE,224,0.7768996967409688,0.8370832175130315,0.06963956682196887,0.0001640947860922926,9.852391829156061e-15,0.45390882551983636,,0.90699,False,0.90699
ENSG00000002745,WNT16,DEE,82,0.06184677289749364,0.7963471252038876,0.21512678296970553,0.022554284031295363,3.769037919343434e-06,0.23325548886318626,,0.43726,False,0.43726
ENSG00000002746,HECW1,DEE,312,0.109743786760099,0.14193071909795538,0.4194431895853481,0.0898866747506095,0.00011037267811128402,0.1999017389314281,,0.55121,False,0.55121
ENSG00000002822,MAD1L1,DEE,226,0.6465638717654763,0.7366225159462616,0.2897338381599304,0.0005668427177926869,1.7521601185721689e-15,0.6974886252225818,,0.29375,False,0.29375
ENSG00000002834,LASP1,DEE,60,0.7690516619352912,0.005476629704850353,0.7091789911717448,0.0016715415096266745,1.8871013752944794e-07,0.05602643498522013,0.025622,0.2656,False,0.025622
ENSG00000002919,SNX11,DEE,52,0.799432499906616,0.2764652912420501,0.89933790505618,0.16248940132144987,0.0017980279339558512,0.8655947572405375,,0.40107,False,0.40107
ENSG00000002933,TMEM176A,DEE,51,0.9295741867957164,0.1385353385101654,0.6977333392850182,0.0055774709919874975,2.907191579977029e-06,0.6690212067292697,,0.75781,False,0.75781
ENSG00000003056,M6PR,DEE,52,0.5574490143034936,4.469607597487704e-05,0.36327645021125254,0.002732133962362733,1.5667375613643627e-08,0.0011857346731087466,,0.58786,False,0.58786
ENSG00000003137,CYP26B1,DEE,120,0.7182364958909377,0.3593708842230753,0.28088030608142567,0.9955872618283274,0.9199157111547319,0.8147488852446674,0.095559,0.37046,False,0.095559
ENSG00000003147,ICA1,DEE,80,0.033050673378084615,0.06232172535209679,0.21040449523209057,0.24567503897801846,0.03850478342598133,0.0720554078398014,,0.30056,False,0.30056
ENSG00000003249,DBNDD1,DEE,46,0.7998987613460842,0.71804062584284,0.7362930263203961,0.004229075918973138,0.00010971656162840979,0.9908210175956782,,0.82843,False,0.82843
ENSG00000003393,ALS2,DEE,335,0.0053411648337265,0.8452781625559466,0.9994849457450343,1.2558193511021807e-06,3.9877381804135597e-20,0.09490846172817874,,0.88072,False,0.88072
ENSG00000003400,CASP10,DEE,128,0.010804894786724056,0.6321527518606735,0.08148393061213251,1.7377832885141752e-07,3.621599551960399e-14,0.0255525487476116,,0.56379,False,0.56379
ENSG00000003402,CFLAR,DEE,52,0.026335920083616304,0.2939929762847901,0.2664071564323134,0.12774988457348194,0.036160206826815894,0.127886899975902,0.43739,0.14623,False,0.14623
ENSG00000003436,TFPI,DEE,30,0.02856871861436017,0.09709046493074583,0.010290328781358032,0.03705639353591668,0.018442976395010108,0.070583279548654,,0.47502,False,0.47502
ENSG00000003509,NDUFAF7,DEE,128,0.9863216566678199,0.6521972649861081,0.46712108450245804,1.3370860260171331e-06,1.431496695062949e-14,0.9140165409578025,,0.78261,False,0.78261
ENSG00000003756,RBM5,DEE,104,0.7795182785301666,0.02561371214665804,0.48936708953900865,0.00014398120292957048,0.0028780268041444187,0.09205875511736997,0.5948,0.030427,False,0.030427
ENSG00000003987,MTMR7,DEE,209,0.6885294673632313,0.10229265536666955,0.7438420082464818,4.412698980219057e-07,3.930484613206294e-09,0.3072743305846241,,0.7339,False,0.7339
ENSG00000003989,SLC7A2,DEE,198,0.6994718514963887,0.8492074842787067,0.18353091303947341,2.6844142462205768e-05,3.704470220002438e-05,0.40180949640686775,,0.10054,False,0.10054
ENSG00000004059,ARF5,DEE,28,0.9140970379615336,0.7746449484174889,0.39714367795168415,0.01551669243880459,0.004365056266170078,0.8978249215443406,0.24415,0.39463,False,0.24415
ENSG00000004139,SARM1,DEE,123,0.008997651809397844,0.19909354752367844,0.056309819691312095,2.9707884512714076e-07,0.0018478478136175428,0.003062757551969414,0.18411,0.053823,False,0.053823
ENSG00000004142,POLDIP2,DEE,50,0.9811437457032932,0.8560956801240391,0.7740142964030833,0.017478942646119152,0.00021805336713097095,0.9976955011674258,,0.41667,False,0.41667
ENSG00000004399,PLXND1,DEE,331,0.012924778799767687,0.3720517301272789,0.18845376805764513,1.2536281082443718e-06,6.445406059315099e-06,0.00841576886056441,0.3376,0.33254,False,0.33254
ENSG00000004455,AK2,DEE,66,0.8047318372971988,0.829793356190535,0.2609057777549949,0.47647275907852726,2.963033874872033e-07,0.1879125925085511,,0.76656,False,0.76656
ENSG00000004468,CD38,DEE,49,0.30914782627181425,0.6313753518043119,0.9746326550525565,0.0035581444907030937,0.00020484330419412805,0.8604074997455358,,0.89623,False,0.89623
