Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,Epi25 DM p-value,Epi25 PTV p-value
ENSG00000001626,CFTR,DEE,362,0.4050684367130938,0.7556280571057977,0.7692561633861053,7.472726799554609e-10,4.815746203753118e-23,0.9287739103963524,,0.19922
ENSG00000001629,ANKIB1,DEE,155,0.2310005539179468,0.7416043650158797,0.243988880762219,0.0051741038168798,0.0002463369100707,0.2943596054037976,0.46567,0.22397
ENSG00000001630,CYP51A1,DEE,68,0.7473934178869466,0.4177452043647123,1.4607234872067911e-18,3.720152520855641e-09,1.036301380262276e-17,0.7194555402656515,,0.19398
ENSG00000002016,RAD52,DEE,100,0.2293729026717083,0.1967119485725139,0.9986547390255608,0.000221710404205,2.7079286945688055e-11,0.4625316808300908,,0.45046
ENSG00000002330,BAD,DEE,32,0.9722858871526948,0.7842805419077131,0.0730615808552989,0.1017235773115547,0.0046239774101199,0.4578821206717086,,0.3496
ENSG00000002549,LAP3,DEE,120,0.4413427527787713,0.1253488861619389,0.1442481289342749,0.0018421837959339,5.57206807321781e-07,0.3597855046179842,,0.65607
ENSG00000002587,HS3ST1,DEE,79,0.9322474149202192,0.6007169595582673,0.5173655412494951,0.0456682039307795,0.0029828904480034,0.9580316354176792,,0.54731
ENSG00000002726,AOC1,DEE,224,0.7768996967409688,0.8370832175130316,0.0696395668219688,0.0001640947860922,9.85239182915606e-15,0.4539088255198327,,0.90699
ENSG00000002745,WNT16,DEE,82,0.0618467728974936,0.7963471252038876,0.2151267829697057,0.0225542840312953,3.7690379193433984e-06,0.2332554888631862,,0.43726
ENSG00000002746,HECW1,DEE,312,0.1097437867600989,0.1419307190979556,0.4194431895853481,0.0898866747506096,0.0001103726781112,0.1999017389314394,,0.55121
ENSG00000002822,MAD1L1,DEE,226,0.6465638717654766,0.7366225159462614,0.2897338381599304,0.0005668427177926,1.7521601185721817e-15,0.6974886252225772,,0.29375
ENSG00000002834,LASP1,DEE,60,0.7690516619352911,0.0054766297048503,0.7091789911717449,0.0016715415096266,1.8871013752944797e-07,0.0560264349852204,0.025622,0.2656
ENSG00000002919,SNX11,DEE,52,0.7994324999066162,0.2764652912420504,0.8993379050561802,0.16248940132145,0.0017980279339558,0.8655947572405356,,0.40107
ENSG00000002933,TMEM176A,DEE,51,0.9295741867957164,0.1385353385101654,0.6977333392850182,0.0055774709919875,2.907191579977029e-06,0.6690212067292697,,0.75781
ENSG00000003056,M6PR,DEE,52,0.557449014303494,4.469607597487704e-05,0.3632764502112525,0.0027321339623627,1.566737561364357e-08,0.0011857346731087,,0.58786
ENSG00000003137,CYP26B1,DEE,120,0.718236495890938,0.359370884223075,0.2808803060814261,0.9955872618283268,0.9199157111547324,0.8147488852446751,0.095559,0.37046
ENSG00000003147,ICA1,DEE,80,0.0330506733780846,0.0623217253520967,0.2104044952320905,0.2456750389780182,0.0385047834259813,0.0720554078398019,,0.30056
ENSG00000003249,DBNDD1,DEE,46,0.7998987613460842,0.7180406258428405,0.7362930263203957,0.0042290759189731,0.0001097165616284,0.990821017595678,,0.82843
ENSG00000003393,ALS2,DEE,335,0.0053411648337264,0.8452781625559469,0.9994849457450348,1.2558193511021809e-06,3.9877381804135314e-20,0.0949084617281787,,0.88072
ENSG00000003400,CASP10,DEE,128,0.010804894786724,0.632152751860673,0.0814839306121326,1.7377832885141879e-07,3.6215995519603996e-14,0.0255525487476118,,0.56379
ENSG00000003402,CFLAR,DEE,52,0.0263359200836163,0.2939929762847898,0.2664071564323131,0.1277498845734818,0.0361602068268158,0.1278868999759018,0.43739,0.14623
ENSG00000003436,TFPI,DEE,30,0.0285687186143601,0.0970904649307458,0.010290328781358,0.0370563935359166,0.0184429763950101,0.070583279548654,,0.47502
ENSG00000003509,NDUFAF7,DEE,128,0.98632165666782,0.6521972649861083,0.4671210845024581,1.337086026017128e-06,1.431496695062949e-14,0.9140165409578004,,0.78261
ENSG00000003756,RBM5,DEE,104,0.7795182785301666,0.025613712146658,0.489367089539009,0.0001439812029295,0.0028780268041444,0.0920587551173699,0.5948,0.030427
ENSG00000003987,MTMR7,DEE,209,0.6885294673632313,0.1022926553666694,0.7438420082464825,4.4126989802190875e-07,3.930484613206294e-09,0.3072743305846288,,0.7339
ENSG00000003989,SLC7A2,DEE,198,0.6994718514963885,0.8492074842787067,0.1835309130394732,2.6844142462205768e-05,3.7044702200024594e-05,0.4018094964068677,,0.10054
ENSG00000004059,ARF5,DEE,28,0.914097037961533,0.7746449484174899,0.397143677951683,0.0155166924388045,0.00436505626617,0.8978249215443379,0.24415,0.39463
ENSG00000004139,SARM1,DEE,123,0.0089976518093978,0.1990935475236784,0.0563098196913123,2.970788451271408e-07,0.0018478478136175,0.0030627575519694,0.18411,0.053823
ENSG00000004142,POLDIP2,DEE,50,0.981143745703293,0.8560956801240395,0.7740142964030832,0.0174789426461191,0.0002180533671309,0.9976955011674256,,0.41667
ENSG00000004399,PLXND1,DEE,331,0.0129247787997676,0.3720517301272789,0.1884537680576454,1.2536281082443718e-06,6.445406059315125e-06,0.0084157688605645,0.3376,0.33254
ENSG00000004455,AK2,DEE,66,0.8047318372971985,0.829793356190535,0.2609057777549953,0.4764727590785268,2.963033874872033e-07,0.1879125925085511,,0.76656
ENSG00000004468,CD38,DEE,49,0.3091478262718141,0.631375351804312,0.9746326550525568,0.003558144490703,0.0002048433041941,0.8604074997455358,,0.89623
ENSG00000004478,FKBP4,DEE,88,0.9876109589922966,0.8704502350025793,0.1772071939864658,0.0731119460327749,3.689413954639463e-05,0.7327567379685589,,0.54235
ENSG00000004487,KDM1A,DEE,54,0.7366180496858314,0.6416942673803893,0.6414774362235107,0.0003030592897011,3.6747487899101217e-06,0.9301737096410834,0.50937,0.54411
ENSG00000004534,RBM6,DEE,191,0.8168668954778799,0.9074941782261532,0.6570430889954377,0.0086525948985897,1.6906113836979268e-06,0.9911434743182636,0.95293,0.68453
ENSG00000004660,CAMKK1,DEE,139,0.8598371051364432,0.5933394484544992,0.3401970259619805,3.11650295671795e-05,0.0451802856863944,0.2049364829478989,,0.80628
ENSG00000004700,RECQL,DEE,145,0.2571257315019434,0.0087691531837375,0.7227907367023041,0.000158287811943,3.1511072533425296e-16,0.0629600578402139,,0.80642
ENSG00000004766,VPS50,DEE,60,0.3102423539545607,0.3292382380973125,0.0056122072574093,0.0560010147586191,0.0017160252684882,0.0608575847952472,,0.83009
ENSG00000004777,ARHGAP33,DEE,238,0.0024548325318291,0.1080125455959793,1.7546225914650295e-28,4.8863384109517385e-08,3.3414549837645576e-76,0.0112358269340814,,0.7697
ENSG00000004779,NDUFAB1,DEE,33,0.3968889269529246,0.6721414213476107,0.9944993990667385,,2.887668725678712e-12,0.8516249030547622,,
ENSG00000004799,PDK4,DEE,64,0.9876730625755704,0.3117011335485434,0.4964251953607258,0.007541029290845,3.9131605022467847e-10,0.5406572078220426,,0.88064
ENSG00000004809,SLC22A16,DEE,166,0.8843675175746152,0.0924350412878575,0.2453819119287766,5.26150299628627e-10,1.6506518169448936e-13,0.2936748149041804,,0.067877
ENSG00000004838,ZMYND10,DEE,110,0.8060526926948057,0.161552301211227,0.8240994566340614,5.638866638361897e-09,0.000130992324157,0.1126568548864605,,0.068191
ENSG00000004846,ABCB5,DEE,393,0.6731162472060068,0.0341410768738131,0.3447071171123297,2.3934613401370857e-11,3.0522371117808643e-29,0.1945165923485154,,0.25504
ENSG00000004864,SLC25A13,DEE,159,0.9635254874724491,0.4951175267224339,0.4424802830480165,1.1369759271702146e-08,1.3157657027340199e-14,0.8953596104325969,,0.72646
ENSG00000004866,ST7,DEE,45,0.0723993996548955,0.749462309256228,0.2045947854851136,0.0067904686643599,0.0166844875679892,0.1843012240643914,0.17663,0.1045
ENSG00000004897,CDC27,DEE,42,0.0003120435555485,0.1421941180533787,0.4264455874991825,0.0694477769005484,0.0043929818997741,0.0078602810168161,0.98566,0.41233
ENSG00000004939,SLC4A1,DEE,216,0.8797963793458008,0.9871110412431834,0.6547230008795525,,2.9350285663068476e-76,0.9746920155846756,,
ENSG00000004948,CALCR,DEE,106,0.4523962930092075,0.6359737338849802,0.0975533523085946,0.0033750923191348,5.016696722485185e-11,0.4548277914874248,,0.92064
ENSG00000004975,DVL2,DEE,185,0.9137077017002506,0.6074141146883372,0.2829170351823424,5.916367704173021e-05,3.338288286253331e-08,0.7657745107162234,,0.19383
ENSG00000005001,PRSS22,DEE,74,0.8031222994626296,0.0347700402304064,0.4903490531129508,0.1089679695945495,5.599992263125682e-06,0.287289100225277,,0.58621
ENSG00000005007,UPF1,DEE,87,0.0674959516216868,0.5006698772129093,0.3526346034469345,,6.709794181869617e-32,0.228352473976752,0.59861,
ENSG00000005020,SKAP2,DEE,35,0.7492656366617422,0.9904861756689752,0.7706958271767793,0.0077267722605066,0.0004064365503466,0.9907606025829152,,0.69585
ENSG00000005073,HOXA11,DEE,43,0.4108504275363922,0.0784486992018463,0.2161869873736364,,3.244245921889385e-09,0.1972350963339855,0.096297,
ENSG00000005075,POLR2J,DEE,25,0.90648522031861,0.8363247478199626,0.9325532140278702,0.0650418231835333,0.0019082040901945,0.9992076980639562,0.97994,0.26956
ENSG00000005100,DHX33,DEE,179,0.9963272462327954,0.3589733635653598,0.4595179977637089,1.1003396696142585e-07,1.920628119289889e-09,0.5136355816143894,,0.05096
ENSG00000005102,MEOX1,DEE,71,0.9642717737605996,0.2590716346921384,0.4538019001074389,0.0429570921284852,0.0002522015766097,0.7493612781382024,,0.74585
ENSG00000005108,THSD7A,DEE,774,0.0027680218881803,7.449027278925753e-05,0.8124336755417116,0.0023480204095148,3.7614401243315575e-08,0.0001383976096249,,0.86115
ENSG00000005156,LIG3,DEE,218,0.5930517149393857,0.3392770410114026,0.8109048078810064,0.0002455534300253,2.7372096240769407e-14,0.7903277292590449,,0.88438
ENSG00000005175,RPAP3,DEE,85,0.8300022477687742,0.0502499277792081,0.409332869395118,3.738627470652853e-05,3.0472692596546747e-10,0.1980625588014351,,0.69037
ENSG00000005187,ACSM3,DEE,166,0.7881214793564089,0.5470078076879921,0.7361913882849183,1.2430749878112446e-11,1.0466734207179235e-16,0.7836520369692068,,0.55353
ENSG00000005189,REXO5,DEE,110,0.9925735917974496,0.7501612285880536,0.2707017448368226,0.0351092934050797,3.045787707329764e-08,0.7625741543957127,,0.46348
ENSG00000005194,CIAPIN1,DEE,67,0.0095292477804859,0.001953635404374,0.8471183342248618,0.0144073205481195,7.378947194944106e-05,0.0032985395963711,,0.97579
ENSG00000005206,SPPL2B,DEE,157,0.8550609063443654,0.646097095214599,0.50394068168859,0.0003338569572521,0.2710800719503494,0.296066518478672,,0.078343
ENSG00000005243,COPZ2,DEE,48,0.7631544795789545,0.5081506309223169,0.7174819575845711,0.1122843490192582,2.849472195028078e-07,0.5603322959435473,,0.80485
ENSG00000005249,PRKAR2B,DEE,28,0.8699787290741445,0.1367835255856112,0.3520777355432989,0.6000921270042062,0.0502128893350609,0.5615015598311246,0.17596,0.85518
ENSG00000005339,CREBBP,DEE,373,0.0014143062861787,0.3705840258291649,0.0373576795216441,0.0093150968518044,3.1557706485060727e-06,0.000898778354806,0.12092,0.65313
ENSG00000005379,TSPOAP1,DEE,419,0.0028791353009565,0.1745371958150756,0.8353563883655187,4.442277300780949e-05,7.936062131276814e-12,0.0190141906640684,,0.59918
