gene_id	gene_name	group	n_variants	p_constraint	p_pathogenicity	p_pLoF	p_const	p_unified
ENSG00000000419	DPM1	DEE	55	0.921665733845429	0.4276819440986409	0.03266223501772371	2.7497323413256763e-16	0.14584412740792366
ENSG00000000419	DPM1	EPI	74	0.4527112817861628	0.9280621370644482	0.0010004096185540212	0.35186788485360265	0.006659593925374412
ENSG00000000419	DPM1	GGE	62	0.9690672011184001	0.42038775791024063	0.003825314987169924	1.1499876178635377e-06	0.02036876631185487
ENSG00000000419	DPM1	NAFE	60	0.6051020165196903	0.7226100712894336	0.007374893585644243	0.007121449327069247	0.04260195938172118
ENSG00000000457	SCYL3	DEE	137	0.5661186753742038	0.7778753358415559	0.028369809448387955	2.8609109438540765e-52	0.15331147104895204
ENSG00000000457	SCYL3	EPI	180	0.36569453296604915	0.4813051949994165	0.5974439964771074	0.008196320007611994	0.6972247153198752
ENSG00000000457	SCYL3	GGE	144	0.22587731578565878	0.732757808112386	0.17408428129017933	2.768061709925067e-20	0.36056369778696423
ENSG00000000457	SCYL3	NAFE	151	0.21169249844678462	0.04205032651047769	0.6570554517742694	2.3697162012492465e-15	0.16232177024524358
ENSG00000000460	C1orf112	DEE	137	0.757612999855404	0.7340440418481436	0.4075196037631217	8.494055196463111e-46	0.8403322798588269
ENSG00000000460	C1orf112	EPI	181	0.19031432886473387	0.09642352660754772	0.2698101346552924	0.535495222093775	0.12064297591686463
ENSG00000000460	C1orf112	GGE	148	0.998055109949645	0.9519627464948395	0.5959747954514333	3.1733903281556236e-18	0.9609021742642598
ENSG00000000460	C1orf112	NAFE	152	0.46394234337441453	0.01527728465132057	0.3385872432910625	1.5903763132998946e-05	0.06403267774180889
ENSG00000000938	FGR	DEE	73	0.6730167522739458	0.06437887807348706	0.7840728951983209	3.0776728662621e-26	0.3102803544566124
ENSG00000000938	FGR	EPI	105	0.8043427035530986	0.7990762255458719	0.3000950243251119	0.04846791585532483	0.7492208143839922
ENSG00000000938	FGR	GGE	79	0.29744530870826474	0.5633582446315941	0.7540887436803084	1.672645281673167e-09	0.6772970271161711
ENSG00000000938	FGR	NAFE	91	0.8765406259714434	0.49742432196421094	0.5686642837553348	1.8802519195016104e-06	0.8385486335665998
ENSG00000000971	CFH	DEE	252	0.427832558390543	0.03284668391353916	0.47858540090701374	8.6688214632986e-89	0.15318951597297484
ENSG00000000971	CFH	EPI	328	0.7417850039033571	0.5115880111695431	0.7355639074919781	0.027103302621606293	0.9131336460661882
ENSG00000000971	CFH	GGE	254	0.4193955867345588	0.5213698541103732	0.9998094907823967	2.949574468104765e-36	0.7698689523508381
ENSG00000000971	CFH	NAFE	283	0.6731306534171988	0.9553869460914349	0.5889651298778333	3.1439538384094736e-16	0.916825116767417
ENSG00000001036	FUCA2	DEE	99	0.31513664016286375	0.002373740757010446	0.9520555471721927	2.03213394867819e-37	0.019670204983036975
ENSG00000001036	FUCA2	EPI	133	0.822708995373245	0.6979695087139329	0.49867935621207793	0.09221753711527801	0.8698224278345601
ENSG00000001036	FUCA2	GGE	104	0.5248003877255658	0.5949434748941916	0.04125526197499388	4.940329447186492e-11	0.1722015794081311
ENSG00000001036	FUCA2	NAFE	122	0.2499609142395454	0.592331856841487	0.45222536228828614	6.324347902027835e-05	0.5354951187163197
ENSG00000001084	GCLC	DEE	55	0.7509939968221007	0.013162444565310386	0.6096584888687816	1.7493878691612567e-16	0.08721867409933767
ENSG00000001084	GCLC	EPI	72	0.6768296100314259	0.32394125905343174	0.3237692178969851	0.6404491337994902	0.5476655766483828
ENSG00000001084	GCLC	GGE	51	0.006198395192047007	0.8035012081600093	0.24730769597560096	1.3820814609698816e-09	0.026998376284850325
ENSG00000001084	GCLC	NAFE	59	0.5167221498086356	0.8586561049708703	0.1945847814480783	0.010886704515797348	0.5656735635078886
ENSG00000001167	NFYA	DEE	27	0.70329487492208	0.9795804555453591	0.7010986542011999	1.7211373085541367e-10	0.9634344110225891
ENSG00000001167	NFYA	EPI	36	0.4702399645676828	0.4110041478263565	0.8986081780971921	0.057749565690321435	0.7369594718685377
ENSG00000001167	NFYA	GGE	25	0.9428888023278481	0.8267757522434771	0.9223359503072551	5.04401711221199e-07	0.9958995376273836
ENSG00000001167	NFYA	NAFE	33	0.6284343938761542	0.5392241468397195	0.9462900792991465	0.00014524251963826521	0.8913913675308011
ENSG00000001460	STPG1	DEE	81	0.5387800307563715	0.3708058156165286	0.5937640349060352	5.627108011987143e-34	0.742716973333065
ENSG00000001460	STPG1	EPI	105	0.5226836293231443	0.16438543983071938	0.20215217424779355	0.6750006841318323	0.3629973905248967
ENSG00000001460	STPG1	GGE	85	0.6695295134856037	0.4364565661408649	0.9852464053582004	4.621780841039502e-12	0.8370190761314978
ENSG00000001460	STPG1	NAFE	96	0.806280270691761	0.20009927509752837	0.3867500870630558	0.0013803018053525455	0.5901718174973078
ENSG00000001461	NIPAL3	DEE	92	0.7840635813664407	0.17432528171834502	0.6822444719144516	5.7330109852334033e-36	0.552711390591107
ENSG00000001461	NIPAL3	EPI	113	0.1453243063622197	0.4326223448989137	0.6155441627335786	0.8243362908383873	0.3880321367990519
ENSG00000001461	NIPAL3	GGE	94	0.652446597517957	0.07905635255664373	0.41290788027934566	3.746174399727822e-11	0.2908856849441057
ENSG00000001461	NIPAL3	NAFE	104	0.47959838390143184	0.40980793086955636	0.27402556157029406	0.0003936050912714319	0.5025301951496307
ENSG00000001561	ENPP4	DEE	90	0.9204331171391797	0.870879041055185	0.08883462262629734	2.3056385878962322e-35	0.38277485995948524
ENSG00000001561	ENPP4	EPI	124	0.35795313429559517	0.6061683975542865	0.5373701187990866	0.020637028626952315	0.629306707955429
ENSG00000001561	ENPP4	GGE	99	0.15031895222074845	0.20819644549614516	0.23790425841502022	1.8128784379207347e-19	0.13731079871699184
ENSG00000001561	ENPP4	NAFE	105	0.717996770550719	0.19848173634403624	0.07679981464891807	6.22322463472971e-05	0.07313199229406356
ENSG00000001617	SEMA3F	DEE	178	0.5301539098948482	0.028232097391823863	0.06044807956103766	7.332763373499614e-57	0.03529742645017437
ENSG00000001617	SEMA3F	EPI	235	0.6490735407440726	0.11489615745731004	0.9073769059622618	0.03679661387855031	0.43568018087754723
ENSG00000001617	SEMA3F	GGE	190	0.4898785627587807	0.8790034121947866	0.7492466899548099	8.479963863624423e-27	0.8728905967225273
ENSG00000001617	SEMA3F	NAFE	195	0.6419251384201059	0.181521912695474	0.6271744889133475	1.2604372302214758e-10	0.5062665190363643
ENSG00000001626	CFTR	DEE	357	0.37879322832483253	0.8407451411262709	0.9903216156225338	1.414142430719503e-101	0.8437671533881177
ENSG00000001626	CFTR	EPI	451	0.0922754829742036	0.7050993440039788	0.3402057948307795	0.009285330042832461	0.2833847444808843
ENSG00000001626	CFTR	GGE	371	0.8501855095457433	0.5187873292201548	0.880619451791829	2.793962446624172e-35	0.9228735059042892
ENSG00000001626	CFTR	NAFE	387	0.6593380291477454	0.27059282860011175	0.15520971635015418	7.580729877813799e-16	0.3006755031389869
ENSG00000001629	ANKIB1	DEE	154	0.13528181493302172	0.7441834608896545	0.6354930771266509	6.148236230578485e-49	0.3304954715767563
ENSG00000001629	ANKIB1	EPI	200	0.7021532711413165	0.2468048609047802	0.5921257821818793	0.14403344593151168	0.5625808065524964
ENSG00000001629	ANKIB1	GGE	163	0.1775143645835117	0.03351094917588662	0.9052922137396268	5.938467636684843e-17	0.09766847660723615
ENSG00000001629	ANKIB1	NAFE	169	0.6578513522380334	0.1802670751216742	0.47753069534437	5.447677150403135e-09	0.4420798858705518
ENSG00000001631	KRIT1	DEE	20	0.559663435514723	0.030933311267619865		3.40433839871712e-07	0.08837215364248754
ENSG00000001631	KRIT1	EPI	28	0.34349440814789844	0.35741655378050285		0.03777988557873615	0.45197835696233646
ENSG00000001631	KRIT1	GGE	20	0.6181718839596215	0.6381310376051957		0.003424778350455919	0.8135177410679121
ENSG00000001631	KRIT1	NAFE	22	0.5413760699862686	0.6762349253809574		0.01699141550896903	0.7825557665574212
ENSG00000002016	RAD52	DEE	95	0.19059017231442135	0.4446674968898824	0.7761807661855373	4.503413952028368e-36	0.5357248145772718
