gene_id	gene_name	group	n_variants	p_unified
ENSG00000002822	MAD1L1	EPI	312	0.7859191741298007
ENSG00000002822	MAD1L1	GGE	241	0.5377073939078261
ENSG00000002822	MAD1L1	NAFE	272	0.4257767387344369
ENSG00000002834	LASP1	DEE	60	0.056026434985219746
ENSG00000002834	LASP1	EPI	70	0.26110776152485815
ENSG00000002834	LASP1	GGE	59	0.9320172365205804
ENSG00000002834	LASP1	NAFE	65	0.5941897761289163
ENSG00000002919	SNX11	DEE	52	0.8655947572405394
ENSG00000002919	SNX11	EPI	74	0.6197965699330672
ENSG00000002919	SNX11	GGE	55	0.2697851727919613
ENSG00000002919	SNX11	NAFE	63	0.5747926430924566
ENSG00000002933	TMEM176A	DEE	51	0.6690212067292697
ENSG00000002933	TMEM176A	EPI	66	0.6934060124917409
ENSG00000002933	TMEM176A	GGE	54	0.9348501808824383
ENSG00000002933	TMEM176A	NAFE	59	0.3282227325928498
ENSG00000003056	M6PR	DEE	52	0.0011857346731087256
ENSG00000003056	M6PR	EPI	71	0.03446724706646588
ENSG00000003056	M6PR	GGE	55	0.5289515098600928
ENSG00000003056	M6PR	NAFE	62	0.05625421817840274
ENSG00000003137	CYP26B1	DEE	120	0.6914500544509592
ENSG00000003137	CYP26B1	EPI	143	0.8282834193959743
ENSG00000003137	CYP26B1	GGE	123	0.35198680040221747
ENSG00000003137	CYP26B1	NAFE	131	0.8429678964256524
ENSG00000003147	ICA1	DEE	80	0.07205540783980191
ENSG00000003147	ICA1	EPI	104	0.8787031374044185
ENSG00000003147	ICA1	GGE	88	0.6733138189361465
ENSG00000003147	ICA1	NAFE	92	0.866773769374674
ENSG00000003249	DBNDD1	DEE	46	0.9908210175956782
ENSG00000003249	DBNDD1	EPI	58	0.7317899943362783
ENSG00000003249	DBNDD1	GGE	46	0.7565945588005767
ENSG00000003249	DBNDD1	NAFE	56	0.44279773352397533
ENSG00000003393	ALS2	DEE	335	0.09490846172818188
ENSG00000003393	ALS2	EPI	432	0.8719593264887042
ENSG00000003393	ALS2	GGE	349	0.919323668007014
ENSG00000003393	ALS2	NAFE	363	0.778172795810412
ENSG00000003400	CASP10	DEE	128	0.0255525487476116
ENSG00000003400	CASP10	EPI	161	0.2632694926581408
ENSG00000003400	CASP10	GGE	133	0.5889809063246625
ENSG00000003400	CASP10	NAFE	141	0.7808676309558166
ENSG00000003402	CFLAR	DEE	52	0.127886899975902
ENSG00000003402	CFLAR	EPI	74	0.9436463266025317
ENSG00000003402	CFLAR	GGE	57	0.9350399644769265
ENSG00000003402	CFLAR	NAFE	64	0.40252107624777766
ENSG00000003436	TFPI	DEE	30	0.070583279548654
ENSG00000003436	TFPI	EPI	39	0.6587211468153736
ENSG00000003436	TFPI	GGE	31	0.04959023550597411
ENSG00000003436	TFPI	NAFE	32	0.19903172620511714
ENSG00000003509	NDUFAF7	DEE	128	0.9140165409578004
ENSG00000003509	NDUFAF7	EPI	174	0.8337810104697747
ENSG00000003509	NDUFAF7	GGE	141	0.8038769547518257
ENSG00000003509	NDUFAF7	NAFE	149	0.7000363045100999
ENSG00000003756	RBM5	DEE	104	0.09205875511737142
ENSG00000003756	RBM5	EPI	129	0.020120093065978065
ENSG00000003756	RBM5	GGE	106	0.7790252707025791
ENSG00000003756	RBM5	NAFE	113	0.7511847067064592
ENSG00000003987	MTMR7	DEE	209	0.3072743305846201
ENSG00000003987	MTMR7	EPI	284	0.8081499366905713
ENSG00000003987	MTMR7	GGE	228	0.5902210919688895
ENSG00000003987	MTMR7	NAFE	244	0.5912716335800365
ENSG00000003989	SLC7A2	DEE	198	0.40180949640686775
ENSG00000003989	SLC7A2	EPI	264	0.8388746367158741
ENSG00000003989	SLC7A2	GGE	212	0.7364428586939988
ENSG00000003989	SLC7A2	NAFE	220	0.4338858507549056
ENSG00000004059	ARF5	DEE	28	0.8978249215443384
ENSG00000004059	ARF5	EPI	35	0.5368103231902459
ENSG00000004059	ARF5	GGE	30	0.5085058830444837
ENSG00000004059	ARF5	NAFE	33	0.46121450386066587
ENSG00000004139	SARM1	DEE	123	0.003062757551969414
ENSG00000004139	SARM1	EPI	157	0.030358706683451146
ENSG00000004139	SARM1	GGE	123	0.00548425764132238
ENSG00000004139	SARM1	NAFE	128	0.2879202550099598
ENSG00000004142	POLDIP2	DEE	50	0.9976955011674257
ENSG00000004142	POLDIP2	EPI	66	0.2997602702824473
ENSG00000004142	POLDIP2	GGE	52	0.7386586549685578
ENSG00000004142	POLDIP2	NAFE	58	0.6587501424859648
ENSG00000004399	PLXND1	DEE	331	0.008415768860564552
ENSG00000004399	PLXND1	EPI	446	0.6330069936325291
ENSG00000004399	PLXND1	GGE	350	0.17347120843163882
ENSG00000004399	PLXND1	NAFE	373	0.8463191619320952
ENSG00000004455	AK2	DEE	66	0.18791259250855197
ENSG00000004455	AK2	EPI	75	0.890918286821917
ENSG00000004455	AK2	GGE	68	0.31212852283664894
ENSG00000004455	AK2	NAFE	73	0.8100697512345525
ENSG00000004468	CD38	DEE	49	0.8604074997455358
ENSG00000004468	CD38	EPI	63	0.36816831694174124
ENSG00000004468	CD38	GGE	51	0.1170048509306593
ENSG00000004468	CD38	NAFE	55	0.6189808594358732
ENSG00000004478	FKBP4	DEE	88	0.7327567379685571
ENSG00000004478	FKBP4	EPI	117	0.8380811193252549
ENSG00000004478	FKBP4	GGE	95	0.14159605783270496
ENSG00000004478	FKBP4	NAFE	107	0.6919708739470277
ENSG00000004487	KDM1A	DEE	54	0.9301737096410834
ENSG00000004487	KDM1A	EPI	79	0.5532392842531242
ENSG00000004487	KDM1A	GGE	61	0.45086829352795066
ENSG00000004487	KDM1A	NAFE	65	0.7015319437306098
ENSG00000004534	RBM6	DEE	191	0.9911434743182648
ENSG00000004534	RBM6	EPI	268	0.644746397344931
ENSG00000004534	RBM6	GGE	197	0.8295972461019717
ENSG00000004534	RBM6	NAFE	224	0.7502924779065936
ENSG00000004660	CAMKK1	DEE	139	0.2049364829478989
ENSG00000004660	CAMKK1	EPI	182	0.9686426489521173
ENSG00000004660	CAMKK1	GGE	145	0.22528297124438265
ENSG00000004660	CAMKK1	NAFE	156	0.8063230811558446
ENSG00000004700	RECQL	DEE	145	0.06296005784021393
ENSG00000004700	RECQL	EPI	184	0.28149790194787044
ENSG00000004700	RECQL	GGE	156	0.37547625653125033
ENSG00000004700	RECQL	NAFE	154	0.7406818136484845
ENSG00000004766	VPS50	DEE	60	0.06085758479524721
ENSG00000004766	VPS50	EPI	76	0.5339142232719525
ENSG00000004766	VPS50	GGE	62	0.8143672939383905
ENSG00000004766	VPS50	NAFE	63	0.8534016102494408
ENSG00000004776	HSPB6	DEE	12	0.03952892174106517
ENSG00000004776	HSPB6	EPI	14	0.20057407774383984
ENSG00000004776	HSPB6	GGE	13	0.3706058579535538
ENSG00000004776	HSPB6	NAFE	12	2.152873836886953e-15
ENSG00000004777	ARHGAP33	DEE	238	0.01123582693408169
ENSG00000004777	ARHGAP33	EPI	300	0.9407447782776096
ENSG00000004777	ARHGAP33	GGE	252	0.33567796425598395
ENSG00000004777	ARHGAP33	NAFE	259	0.8789914662933768
ENSG00000004779	NDUFAB1	DEE	33	0.8516249030547622
ENSG00000004779	NDUFAB1	EPI	41	0.9233900670291023
