gene_id	gene_name	g4e	p_unified	epi25_min_p	meta_sig
ENSG00000005436	GCFC2	False	0.3736381237778252	0.035671	False
ENSG00000005448	WDR54	False	0.5115906787023355	0.15148	False
ENSG00000005469	CROT	False	0.06140574988723798	0.012017	False
ENSG00000005471	ABCB4	False	0.10220817095759938	0.0077031	False
ENSG00000005483	KMT2E	True	0.00288570575694059	8.8556e-05	False
ENSG00000005486	RHBDD2	False	0.23261631979230743	0.17693	False
ENSG00000005513	SOX8	False	0.5670206892163812		False
ENSG00000005700	IBTK	False	0.22783211451350602	0.06691	False
ENSG00000005801	ZNF195	False	0.508949706972011	0.52706	False
ENSG00000005812	FBXL3	False	0.5605852523802052	0.049962	False
ENSG00000005844	ITGAL	False	0.17644228240800394	0.07809	False
ENSG00000005882	PDK2	False	0.0628795395580541	0.37082	False
ENSG00000005884	ITGA3	False	0.10805840327842374	0.22451	False
ENSG00000005961	ITGA2B	False	0.4651912682278613	0.32018	False
ENSG00000005981	ASB4	False	0.06356462207541302	0.099786	False
ENSG00000006007	GDE1	False	0.1354663058812099	0.186	False
ENSG00000006015	REX1BD	False	0.012056435729424664	0.044488	False
ENSG00000006016	CRLF1	False	0.0028347288864076056	0.70937	False
ENSG00000006025	OSBPL7	False	0.2362847621636836	0.03805	False
ENSG00000006042	TMEM98	False	0.2353125225335047	0.25102	False
ENSG00000006047	YBX2	False	0.5972777498755055	0.09325	False
ENSG00000006059	KRT33A	False	0.433929370552115	0.4088	False
ENSG00000006062	MAP3K14	False	0.15873307604149495	0.44088	False
ENSG00000006071	ABCC8	False	0.273680897034008	0.1333	False
ENSG00000006116	CACNG3	False	0.7267263815538041	0.30633	False
ENSG00000006118	TMEM132A	False	0.11740059541788025	0.30708	False
ENSG00000006125	AP2B1	False	0.1818442895078829	0.39234	False
ENSG00000006128	TAC1	False	0.26924622374650226	0.11179	False
ENSG00000006194	ZNF263	False	0.1703916615061449	0.26915	False
ENSG00000006210	CX3CL1	False	0.059094321808100314	0.26659	False
ENSG00000006282	SPATA20	False	0.1373608281368856	0.0027097	False
ENSG00000006283	CACNA1G	True	0.2722488021339264	0.17693	False
ENSG00000006377	DLX6	False	0.26235842592141645	0.51583	False
ENSG00000006432	MAP3K9	False	0.22423523344228247	0.010134	False
ENSG00000006453	BAIAP2L1	False	0.3817857245702393	0.10085	False
ENSG00000006459	KDM7A	False	0.12968430963102506	0.075814	False
ENSG00000006468	ETV1	False	0.0247066649482464	0.49242	False
ENSG00000006530	AGK	False	0.06259397663864585	0.093828	False
ENSG00000006534	ALDH3B1	False	0.537583128893671	0.38064	False
ENSG00000006555	TTC22	False	0.21516904105933346	0.49976	False
ENSG00000006576	PHTF2	False	0.001431446248185997	0.021983	False
ENSG00000006607	FARP2	False	0.07147088588824695	0.011972	False
ENSG00000006611	USH1C	False	0.11011847902317275	0.1318	False
ENSG00000006625	GGCT	False	0.4844771145203979		False
ENSG00000006634	DBF4	False	0.04978804644686218	0.14995	False
ENSG00000006638	TBXA2R	False	0.2004700625712471	0.44227	False
ENSG00000006652	IFRD1	False	0.19955717964185532	0.088731	False
ENSG00000006659	LGALS14	False	0.33498372251701525	0.008058	False
ENSG00000006695	COX10	True	0.1231988441793037	0.35668	False
ENSG00000006704	GTF2IRD1	False	0.249797669751098	0.2314	False
ENSG00000006712	PAF1	False	0.4477602015510517	0.28174	False
ENSG00000006715	VPS41	False	0.03907450109525857	0.60543	False
ENSG00000006740	ARHGAP44	False	0.5106939423305532	0.071938	False
ENSG00000006744	ELAC2	False	0.0009098953034564938	0.17532	False
ENSG00000006747	SCIN	False	0.15973763583690345	0.081492	False
ENSG00000006788	MYH13	False	0.006364011630170721	0.13364	False
ENSG00000006831	ADIPOR2	False	0.550260474477184	0.54263	False
ENSG00000006837	CDKL3	False	0.20284356693035377	0.39331	False
ENSG00000007001	UPP2	False	0.25730083428686257	0.21386	False
ENSG00000007038	PRSS21	False	0.28209805768497986	0.36172	False
ENSG00000007047	MARK4	False	0.5763807762902031	0.136	False
ENSG00000007062	PROM1	False	0.23990259769200606	0.15768	False
ENSG00000007080	CCDC124	False	0.4947247969949775	0.1396	False
ENSG00000007129	CEACAM21	False	0.09782080092088366	0.40764	False
ENSG00000007168	PAFAH1B1	True	0.44884317265765117	0.015305	False
ENSG00000007171	NOS2	False	0.019990209471699216	0.092354	False
ENSG00000007174	DNAH9	False	0.006714742973566728	0.062749	False
ENSG00000007216	SLC13A2	False	0.03377170246407564	0.1981	False
ENSG00000007237	GAS7	False	0.2715327180178007	0.077674	False
ENSG00000007255	TRAPPC6A	False	0.13636420282348552	0.46157	False
ENSG00000007264	MATK	False	0.18818445409983323	0.32284	False
ENSG00000007306	CEACAM7	False	0.11844653693800267	0.074742	False
ENSG00000007312	CD79B	False	0.2122222062319188		False
ENSG00000007314	SCN4A	False	0.7781268991492685	0.24091	False
ENSG00000007341	ST7L	False	0.13171079391906348	0.096692	False
ENSG00000007372	PAX6	True	0.5015165733406568	0.20804	False
ENSG00000007376	RPUSD1	False	0.2888869051186327	0.14207	False
ENSG00000007384	RHBDF1	False	0.2717376599155769	0.090036	False
ENSG00000007392	LUC7L	False	0.3201788201617561	0.18864	False
ENSG00000007402	CACNA2D2	True	0.004456456520050878	0.04814	False
ENSG00000007516	BAIAP3	False	0.07174791318955681	0.49779	False
ENSG00000007520	TSR3	False	0.08726845396398397	0.1317	False
ENSG00000007541	PIGQ	True	0.019837180271484362	0.30556	False
ENSG00000007545	CRAMP1	False	0.17654120057953876	0.36176	False
ENSG00000007866	TEAD3	False	0.07054403219543381	0.19665	False
ENSG00000007908	SELE	False	0.5173550302163896	0.25272	False
ENSG00000007923	DNAJC11	False	0.3008799816907283	0.42831	False
ENSG00000007933	FMO3	False	0.1738877115166782	0.089433	False
ENSG00000007944	MYLIP	False	0.06619870381786651	0.21982	False
ENSG00000007968	E2F2	False	0.2315936522937617	0.060424	False
ENSG00000008018	PSMB1	False	0.1037699917950405	0.11854	False
ENSG00000008083	JARID2	True	0.010338596647960645	0.10763	False
ENSG00000008118	CAMK1G	False	0.3209757925163966	0.11963	False
ENSG00000008128	CDK11A	False	0.058731741978302145	0.49055	False
ENSG00000008130	NADK	False	0.023778331829343538	0.0066755	False
ENSG00000008196	TFAP2B	False	0.04887337182179243	0.10592	False
ENSG00000008197	TFAP2D	False	0.011153943679175372	0.24873	False
ENSG00000008226	DLEC1	False	0.39062409481839033	0.82084	False
ENSG00000008256	CYTH3	False	0.11764030683352666	0.022569	False
ENSG00000008277	ADAM22	True	0.257792181051299	0.27839	False
ENSG00000008282	SYPL1	False	0.052401140427052295	0.0689	False
ENSG00000008283	CYB561	False	0.05810347713591846	0.1656	False
ENSG00000008294	SPAG9	False	0.12499355867685973	0.031196	False
ENSG00000008300	CELSR3	False	0.024977653110363183	0.044871	False
ENSG00000008311	AASS	False	0.25626086029696116	0.41028	False
ENSG00000008323	PLEKHG6	False	0.27140891766228165	0.081128	False
ENSG00000008382	MPND	False	0.42622839994259176	0.76285	False
ENSG00000008394	MGST1	False	0.1122454572373592	0.5477	False
ENSG00000008405	CRY1	False	0.028629242001998935	0.050343	False
ENSG00000008438	PGLYRP1	False	0.5646963885471934	0.097369	False
ENSG00000008441	NFIX	False	0.6489026409563337	0.17184	False
ENSG00000008513	ST3GAL1	False	0.22419831154119094	0.33731	False
ENSG00000008516	MMP25	False	0.7270194393406156	0.18827	False
ENSG00000008517	IL32	False	0.3273943821967614	0.50588	False
ENSG00000008710	PKD1	False	0.3095086767808939	0.31208	False
ENSG00000008735	MAPK8IP2	False	0.31850581713081505	0.18515	False
ENSG00000008838	MED24	False	0.02458014346350828	0.023256	False
ENSG00000008853	RHOBTB2	True	0.010247582329551417	0.14247	False
ENSG00000008869	HEATR5B	False	0.8639381684954799	0.03416	False
ENSG00000008952	SEC62	False	0.5285162991859766		False
ENSG00000009307	CSDE1	False	0.04012341232854761	0.0085407	False
ENSG00000009335	UBE3C	False	0.33375142603813185	0.038592	False
ENSG00000009413	REV3L	False	0.09463853126729135	0.097871	False
ENSG00000009709	PAX7	False	0.5674438256413511	0.36975	False
ENSG00000009724	MASP2	False	0.0010120010850267265	0.4407	False
ENSG00000009765	IYD	False	0.1736421809549599	0.30514	False
ENSG00000009780	FAM76A	False	0.17671434561635935	0.16717	False
ENSG00000009790	TRAF3IP3	False	0.176077219700848	0.084091	False
ENSG00000009830	POMT2	True	0.011188181515031849	0.030252	False
ENSG00000009844	VTA1	False	0.151140510450389	0.2246	False
ENSG00000009950	MLXIPL	False	0.22503073695027817	0.15921	False
ENSG00000009954	BAZ1B	False	0.2060719517069214	0.171	False
ENSG00000010017	RANBP9	False	0.7432797915709549	0.07435	False
ENSG00000010030	ETV7	False	0.5311803073188102	0.25062	False
ENSG00000010072	SPRTN	False	0.444113860665751	0.44178	False
ENSG00000010219	DYRK4	False	0.00767938136780999	0.52708	False
ENSG00000010244	ZNF207	False	0.012419841706964535	0.11465	False
ENSG00000010256	UQCRC1	False	0.25538329820013256	0.036675	False
ENSG00000010270	STARD3NL	False	0.19756955501112525	0.39334	False
ENSG00000010278	CD9	False	0.33588462597860536	0.1019	False
ENSG00000010282	HHATL	False	0.4346404700707397	0.29231	False
ENSG00000010292	NCAPD2	False	0.1542624121111433	0.34268	False
